,text_uri,ms,result
44,0207Waqidi.FutuhSham,234,0209AbuCubayda
45,0207Waqidi.FutuhSham,241,0209AbuCubayda
46,0207Waqidi.FutuhSham,250,0209AbuCubayda
47,0207Waqidi.FutuhSham,252,0209AbuCubayda
48,0207Waqidi.FutuhSham,263,0209AbuCubayda
49,0207Waqidi.FutuhSham,264,0209AbuCubayda
50,0207Waqidi.FutuhSham,266,0209AbuCubayda
51,0207Waqidi.FutuhSham,267,0209AbuCubayda
52,0207Waqidi.FutuhSham,272,0209AbuCubayda
53,0207Waqidi.FutuhSham,277,0209AbuCubayda
54,0207Waqidi.FutuhSham,285,0209AbuCubayda
55,0207Waqidi.FutuhSham,286,0209AbuCubayda
56,0207Waqidi.FutuhSham,297,0209AbuCubayda
57,0207Waqidi.FutuhSham,298,0209AbuCubayda
58,0207Waqidi.FutuhSham,300,0209AbuCubayda
59,0207Waqidi.FutuhSham,302,0209AbuCubayda
60,0207Waqidi.FutuhSham,305,0209AbuCubayda
61,0207Waqidi.FutuhSham,306,0209AbuCubayda
62,0207Waqidi.FutuhSham,314,0209AbuCubayda
63,0207Waqidi.FutuhSham,315,0209AbuCubayda
64,0207Waqidi.FutuhSham,316,0209AbuCubayda
65,0207Waqidi.FutuhSham,317,0209AbuCubayda
66,0207Waqidi.FutuhSham,325,0209AbuCubayda
67,0207Waqidi.FutuhSham,338,0209AbuCubayda
68,0207Waqidi.FutuhSham,339,0209AbuCubayda
69,0207Waqidi.FutuhSham,340,0209AbuCubayda
70,0207Waqidi.FutuhSham,341,0209AbuCubayda
71,0207Waqidi.FutuhSham,343,0209AbuCubayda
72,0207Waqidi.FutuhSham,346,0209AbuCubayda
73,0207Waqidi.FutuhSham,347,0209AbuCubayda
74,0207Waqidi.FutuhSham,350,0209AbuCubayda
75,0207Waqidi.FutuhSham,352,0209AbuCubayda
76,0207Waqidi.FutuhSham,353,0209AbuCubayda
77,0207Waqidi.FutuhSham,354,0209AbuCubayda
78,0207Waqidi.FutuhSham,359,0209AbuCubayda
79,0207Waqidi.FutuhSham,360,0209AbuCubayda
80,0207Waqidi.FutuhSham,362,0209AbuCubayda
81,0207Waqidi.FutuhSham,363,0209AbuCubayda
82,0207Waqidi.FutuhSham,364,0209AbuCubayda
83,0207Waqidi.FutuhSham,365,0209AbuCubayda
84,0207Waqidi.FutuhSham,372,0209AbuCubayda
85,0207Waqidi.FutuhSham,373,0209AbuCubayda
86,0207Waqidi.FutuhSham,374,0209AbuCubayda
87,0207Waqidi.FutuhSham,375,0209AbuCubayda
88,0207Waqidi.FutuhSham,376,0209AbuCubayda
89,0207Waqidi.FutuhSham,427,0209AbuCubayda
90,0207Waqidi.FutuhSham,429,0209AbuCubayda
91,0207Waqidi.FutuhSham,432,0209AbuCubayda
92,0207Waqidi.FutuhSham,433,0209AbuCubayda
93,0207Waqidi.FutuhSham,506,0209AbuCubayda
94,0207Waqidi.FutuhSham,507,0209AbuCubayda
0,0209AbuCubayda.Dibaj,01,0209AbuCubayda
1,0209AbuCubayda.Dibaj,02,0209AbuCubayda
2,0209AbuCubayda.Dibaj,04,0209AbuCubayda
3,0209AbuCubayda.Dibaj,05,0209AbuCubayda
4,0209AbuCubayda.Dibaj,07,0209AbuCubayda
5,0209AbuCubayda.Dibaj,08,0209AbuCubayda
6,0209AbuCubayda.Dibaj,10,0209AbuCubayda
7,0209AbuCubayda.Dibaj,11,0209AbuCubayda
8,0209AbuCubayda.Dibaj,12,0209AbuCubayda
9,0209AbuCubayda.Dibaj,21,0487Bakri
10,0209AbuCubayda.Dibaj,24,0209AbuCubayda
11,0209AbuCubayda.Dibaj,27,0209AbuCubayda
12,0209AbuCubayda.Dibaj,39,0209AbuCubayda
13,0209AbuCubayda.Dibaj,41,0209AbuCubayda
14,0209AbuCubayda.Dibaj,42,0209AbuCubayda
15,0209AbuCubayda.Dibaj,44,0209AbuCubayda
16,0209AbuCubayda.Dibaj,45,0209AbuCubayda
0,0211CabdRazzaqSancani.Musannaf,0133,0209AbuCubayda
1,0211CabdRazzaqSancani.Musannaf,0346,0209AbuCubayda
0,0213IbnHisham.SiraNabawiyya,060,0151IbnIshaq.Sira
1,0213IbnHisham.SiraNabawiyya,088,0151IbnIshaq.Sira
2,0213IbnHisham.SiraNabawiyya,244,0151IbnIshaq.Sira
3,0213IbnHisham.SiraNabawiyya,381,0209AbuCubayda
4,0213IbnHisham.SiraNabawiyya,544,0209AbuCubayda
5,0213IbnHisham.SiraNabawiyya,625,0198SufyanIbnCuyayna
6,0213IbnHisham.SiraNabawiyya,663,0151IbnIshaq.Sira
7,0213IbnHisham.SiraNabawiyya,687,0151IbnIshaq.Sira
8,0213IbnHisham.SiraNabawiyya,892,0209AbuCubayda
0,0224QasimIbnSallam.Amwal,056,0209AbuCubayda
1,0224QasimIbnSallam.Amwal,060,0209AbuCubayda
2,0224QasimIbnSallam.Amwal,070,0209AbuCubayda
3,0224QasimIbnSallam.Amwal,102,0209AbuCubayda
4,0224QasimIbnSallam.Amwal,364,0209AbuCubayda
0,0230IbnSacd.TabaqatKubra,0034,0151IbnIshaq.Sira
1,0230IbnSacd.TabaqatKubra,0070,0230IbnSacd.TabaqatKubra
2,0230IbnSacd.TabaqatKubra,0149,0230IbnSacd.TabaqatKubra
3,0230IbnSacd.TabaqatKubra,0236,0230IbnSacd.TabaqatKubra
4,0230IbnSacd.TabaqatKubra,0255,0230IbnSacd.TabaqatKubra
5,0230IbnSacd.TabaqatKubra,0308,0230IbnSacd.TabaqatKubra
6,0230IbnSacd.TabaqatKubra,0412,0230IbnSacd.TabaqatKubra
7,0230IbnSacd.TabaqatKubra,0426,0230IbnSacd.TabaqatKubra
8,0230IbnSacd.TabaqatKubra,0432,0230IbnSacd.TabaqatKubra
9,0230IbnSacd.TabaqatKubra,0497,0230IbnSacd.TabaqatKubra
10,0230IbnSacd.TabaqatKubra,0733,0230IbnSacd.TabaqatKubra
11,0230IbnSacd.TabaqatKubra,0752,0230IbnSacd.TabaqatKubra
12,0230IbnSacd.TabaqatKubra,0762,0230IbnSacd.TabaqatKubra
13,0230IbnSacd.TabaqatKubra,0799,0230IbnSacd.TabaqatKubra
14,0230IbnSacd.TabaqatKubra,0815,0151IbnIshaq.Sira
15,0230IbnSacd.TabaqatKubra,0857,0230IbnSacd.TabaqatKubra
16,0230IbnSacd.TabaqatKubra,0873,0230IbnSacd.TabaqatKubra
17,0230IbnSacd.TabaqatKubra,0884,0209AbuCubayda
18,0230IbnSacd.TabaqatKubra,0887,0209AbuCubayda
19,0230IbnSacd.TabaqatKubra,0903,0230IbnSacd.TabaqatKubra
20,0230IbnSacd.TabaqatKubra,0920,0230IbnSacd.TabaqatKubra
21,0230IbnSacd.TabaqatKubra,0921,0230IbnSacd.TabaqatKubra
22,0230IbnSacd.TabaqatKubra,0958,0230IbnSacd.TabaqatKubra
23,0230IbnSacd.TabaqatKubra,1011,0230IbnSacd.TabaqatKubra
24,0230IbnSacd.TabaqatKubra,1048,0230IbnSacd.TabaqatKubra
25,0230IbnSacd.TabaqatKubra,1054,0209AbuCubayda
26,0230IbnSacd.TabaqatKubra,1066,0151IbnIshaq.Sira
27,0230IbnSacd.TabaqatKubra,1079,0230IbnSacd.TabaqatKubra
28,0230IbnSacd.TabaqatKubra,1083,0230IbnSacd.TabaqatKubra
29,0230IbnSacd.TabaqatKubra,1086,0209AbuCubayda
30,0230IbnSacd.TabaqatKubra,1087,0209AbuCubayda
31,0230IbnSacd.TabaqatKubra,1120,0151IbnIshaq.Sira
32,0230IbnSacd.TabaqatKubra,1123,0151IbnIshaq.Sira
33,0230IbnSacd.TabaqatKubra,1128,0151IbnIshaq.Sira
34,0230IbnSacd.TabaqatKubra,1128,0230IbnSacd.TabaqatKubra
35,0230IbnSacd.TabaqatKubra,1129,0151IbnIshaq.Sira
36,0230IbnSacd.TabaqatKubra,1130,0151IbnIshaq.Sira
37,0230IbnSacd.TabaqatKubra,1131,0151IbnIshaq.Sira
38,0230IbnSacd.TabaqatKubra,1132,0151IbnIshaq.Sira
39,0230IbnSacd.TabaqatKubra,1133,0151IbnIshaq.Sira
40,0230IbnSacd.TabaqatKubra,1134,0151IbnIshaq.Sira
41,0230IbnSacd.TabaqatKubra,1141,0151IbnIshaq.Sira
42,0230IbnSacd.TabaqatKubra,1145,0230IbnSacd.TabaqatKubra
43,0230IbnSacd.TabaqatKubra,1154,0151IbnIshaq.Sira
44,0230IbnSacd.TabaqatKubra,1170,0230IbnSacd.TabaqatKubra
45,0230IbnSacd.TabaqatKubra,1173,0151IbnIshaq.Sira
46,0230IbnSacd.TabaqatKubra,1175,0151IbnIshaq.Sira
47,0230IbnSacd.TabaqatKubra,1189,0151IbnIshaq.Sira
48,0230IbnSacd.TabaqatKubra,1191,0230IbnSacd.TabaqatKubra
49,0230IbnSacd.TabaqatKubra,1194,0151IbnIshaq.Sira
50,0230IbnSacd.TabaqatKubra,1200,0151IbnIshaq.Sira
51,0230IbnSacd.TabaqatKubra,1207,0230IbnSacd.TabaqatKubra
52,0230IbnSacd.TabaqatKubra,1208,0151IbnIshaq.Sira
53,0230IbnSacd.TabaqatKubra,1212,0151IbnIshaq.Sira
54,0230IbnSacd.TabaqatKubra,1213,0151IbnIshaq.Sira
55,0230IbnSacd.TabaqatKubra,1250,0230IbnSacd.TabaqatKubra
56,0230IbnSacd.TabaqatKubra,1263,0230IbnSacd.TabaqatKubra
57,0230IbnSacd.TabaqatKubra,1280,0151IbnIshaq.Sira
58,0230IbnSacd.TabaqatKubra,1304,0230IbnSacd.TabaqatKubra
59,0230IbnSacd.TabaqatKubra,1342,0230IbnSacd.TabaqatKubra
60,0230IbnSacd.TabaqatKubra,1350,0230IbnSacd.TabaqatKubra
61,0230IbnSacd.TabaqatKubra,1352,0151IbnIshaq.Sira
62,0230IbnSacd.TabaqatKubra,1359,0151IbnIshaq.Sira
63,0230IbnSacd.TabaqatKubra,1360,0151IbnIshaq.Sira
64,0230IbnSacd.TabaqatKubra,1363,0230IbnSacd.TabaqatKubra
65,0230IbnSacd.TabaqatKubra,1369,0151IbnIshaq.Sira
66,0230IbnSacd.TabaqatKubra,1412,0198SufyanIbnCuyayna
67,0230IbnSacd.TabaqatKubra,1415,0151IbnIshaq.Sira
68,0230IbnSacd.TabaqatKubra,1420,0151IbnIshaq.Sira
69,0230IbnSacd.TabaqatKubra,1440,0151IbnIshaq.Sira
70,0230IbnSacd.TabaqatKubra,1445,0230IbnSacd.TabaqatKubra
71,0230IbnSacd.TabaqatKubra,1465,0230IbnSacd.TabaqatKubra
72,0230IbnSacd.TabaqatKubra,1472,0151IbnIshaq.Sira
73,0230IbnSacd.TabaqatKubra,1480,0230IbnSacd.TabaqatKubra
74,0230IbnSacd.TabaqatKubra,1503,0230IbnSacd.TabaqatKubra
75,0230IbnSacd.TabaqatKubra,1522,0230IbnSacd.TabaqatKubra
76,0230IbnSacd.TabaqatKubra,1544,0230IbnSacd.TabaqatKubra
77,0230IbnSacd.TabaqatKubra,1547,0151IbnIshaq.Sira
78,0230IbnSacd.TabaqatKubra,1573,0151IbnIshaq.Sira
79,0230IbnSacd.TabaqatKubra,1578,0230IbnSacd.TabaqatKubra
80,0230IbnSacd.TabaqatKubra,1611,0230IbnSacd.TabaqatKubra
81,0230IbnSacd.TabaqatKubra,1667,0230IbnSacd.TabaqatKubra
82,0230IbnSacd.TabaqatKubra,1687,0230IbnSacd.TabaqatKubra
83,0230IbnSacd.TabaqatKubra,1693,0230IbnSacd.TabaqatKubra
84,0230IbnSacd.TabaqatKubra,1708,0230IbnSacd.TabaqatKubra
85,0230IbnSacd.TabaqatKubra,1713,0230IbnSacd.TabaqatKubra
86,0230IbnSacd.TabaqatKubra,1718,0230IbnSacd.TabaqatKubra
87,0230IbnSacd.TabaqatKubra,1728,0230IbnSacd.TabaqatKubra
88,0230IbnSacd.TabaqatKubra,1775,0230IbnSacd.TabaqatKubra
89,0230IbnSacd.TabaqatKubra,1803,0230IbnSacd.TabaqatKubra
90,0230IbnSacd.TabaqatKubra,1809,0230IbnSacd.TabaqatKubra
91,0230IbnSacd.TabaqatKubra,1830,0230IbnSacd.TabaqatKubra
92,0230IbnSacd.TabaqatKubra,1853,0230IbnSacd.TabaqatKubra
93,0230IbnSacd.TabaqatKubra,1870,0230IbnSacd.TabaqatKubra
94,0230IbnSacd.TabaqatKubra,1885,0230IbnSacd.TabaqatKubra
95,0230IbnSacd.TabaqatKubra,1887,0230IbnSacd.TabaqatKubra
96,0230IbnSacd.TabaqatKubra,1894,0230IbnSacd.TabaqatKubra
97,0230IbnSacd.TabaqatKubra,1903,0230IbnSacd.TabaqatKubra
98,0230IbnSacd.TabaqatKubra,1916,0230IbnSacd.TabaqatKubra
99,0230IbnSacd.TabaqatKubra,1917,0230IbnSacd.TabaqatKubra
100,0230IbnSacd.TabaqatKubra,1960,0230IbnSacd.TabaqatKubra
101,0230IbnSacd.TabaqatKubra,1978,0230IbnSacd.TabaqatKubra
102,0230IbnSacd.TabaqatKubra,2002,0230IbnSacd.TabaqatKubra
103,0230IbnSacd.TabaqatKubra,2085,0230IbnSacd.TabaqatKubra
104,0230IbnSacd.TabaqatKubra,2116,0230IbnSacd.TabaqatKubra
105,0230IbnSacd.TabaqatKubra,2154,0230IbnSacd.TabaqatKubra
106,0230IbnSacd.TabaqatKubra,2234,0230IbnSacd.TabaqatKubra
107,0230IbnSacd.TabaqatKubra,2263,0230IbnSacd.TabaqatKubra
108,0230IbnSacd.TabaqatKubra,2277,0230IbnSacd.TabaqatKubra
109,0230IbnSacd.TabaqatKubra,2278,0230IbnSacd.TabaqatKubra
110,0230IbnSacd.TabaqatKubra,2280,0230IbnSacd.TabaqatKubra
111,0230IbnSacd.TabaqatKubra,2345,0230IbnSacd.TabaqatKubra
112,0230IbnSacd.TabaqatKubra,2349,0230IbnSacd.TabaqatKubra
113,0230IbnSacd.TabaqatKubra,2359,0198SufyanIbnCuyayna
114,0230IbnSacd.TabaqatKubra,2455,0230IbnSacd.TabaqatKubra
115,0230IbnSacd.TabaqatKubra,2489,0230IbnSacd.TabaqatKubra
116,0230IbnSacd.TabaqatKubra,2490,0230IbnSacd.TabaqatKubra
117,0230IbnSacd.TabaqatKubra,2496,0230IbnSacd.TabaqatKubra
118,0230IbnSacd.TabaqatKubra,2520,0230IbnSacd.TabaqatKubra
119,0230IbnSacd.TabaqatKubra,2587,0230IbnSacd.TabaqatKubra
120,0230IbnSacd.TabaqatKubra,2587,0198SufyanIbnCuyayna
121,0230IbnSacd.TabaqatKubra,2589,0230IbnSacd.TabaqatKubra
122,0230IbnSacd.TabaqatKubra,2685,0198SufyanIbnCuyayna
123,0230IbnSacd.TabaqatKubra,2702,0230IbnSacd.TabaqatKubra
124,0230IbnSacd.TabaqatKubra,2808,0230IbnSacd.TabaqatKubra
125,0230IbnSacd.TabaqatKubra,2810,0230IbnSacd.TabaqatKubra
126,0230IbnSacd.TabaqatKubra,2834,0230IbnSacd.TabaqatKubra
127,0230IbnSacd.TabaqatKubra,2843,0230IbnSacd.TabaqatKubra
128,0230IbnSacd.TabaqatKubra,2844,0230IbnSacd.TabaqatKubra
129,0230IbnSacd.TabaqatKubra,2856,0230IbnSacd.TabaqatKubra
130,0230IbnSacd.TabaqatKubra,2856,0198SufyanIbnCuyayna
131,0230IbnSacd.TabaqatKubra,2860,0230IbnSacd.TabaqatKubra
132,0230IbnSacd.TabaqatKubra,2861,0230IbnSacd.TabaqatKubra
133,0230IbnSacd.TabaqatKubra,2864,0198SufyanIbnCuyayna
134,0230IbnSacd.TabaqatKubra,2865,0230IbnSacd.TabaqatKubra
135,0230IbnSacd.TabaqatKubra,2865,0198SufyanIbnCuyayna
136,0230IbnSacd.TabaqatKubra,2866,0198SufyanIbnCuyayna
137,0230IbnSacd.TabaqatKubra,2878,0230IbnSacd.TabaqatKubra
138,0230IbnSacd.TabaqatKubra,2881,0230IbnSacd.TabaqatKubra
139,0230IbnSacd.TabaqatKubra,2883,0230IbnSacd.TabaqatKubra
140,0230IbnSacd.TabaqatKubra,2884,0230IbnSacd.TabaqatKubra
141,0230IbnSacd.TabaqatKubra,2890,0230IbnSacd.TabaqatKubra
142,0230IbnSacd.TabaqatKubra,2897,0230IbnSacd.TabaqatKubra
143,0230IbnSacd.TabaqatKubra,2900,0230IbnSacd.TabaqatKubra
144,0230IbnSacd.TabaqatKubra,2902,0230IbnSacd.TabaqatKubra
145,0230IbnSacd.TabaqatKubra,2902,0198SufyanIbnCuyayna
146,0230IbnSacd.TabaqatKubra,2903,0230IbnSacd.TabaqatKubra
147,0230IbnSacd.TabaqatKubra,2907,0230IbnSacd.TabaqatKubra
148,0230IbnSacd.TabaqatKubra,2915,0230IbnSacd.TabaqatKubra
149,0230IbnSacd.TabaqatKubra,2915,0198SufyanIbnCuyayna
150,0230IbnSacd.TabaqatKubra,2917,0230IbnSacd.TabaqatKubra
151,0230IbnSacd.TabaqatKubra,2918,0230IbnSacd.TabaqatKubra
152,0230IbnSacd.TabaqatKubra,2922,0230IbnSacd.TabaqatKubra
153,0230IbnSacd.TabaqatKubra,2924,0230IbnSacd.TabaqatKubra
154,0230IbnSacd.TabaqatKubra,2925,0230IbnSacd.TabaqatKubra
155,0230IbnSacd.TabaqatKubra,2929,0230IbnSacd.TabaqatKubra
156,0230IbnSacd.TabaqatKubra,2931,0230IbnSacd.TabaqatKubra
157,0230IbnSacd.TabaqatKubra,2945,0230IbnSacd.TabaqatKubra
158,0230IbnSacd.TabaqatKubra,2946,0230IbnSacd.TabaqatKubra
159,0230IbnSacd.TabaqatKubra,2947,0230IbnSacd.TabaqatKubra
160,0230IbnSacd.TabaqatKubra,2954,0230IbnSacd.TabaqatKubra
161,0230IbnSacd.TabaqatKubra,2966,0230IbnSacd.TabaqatKubra
162,0230IbnSacd.TabaqatKubra,2967,0230IbnSacd.TabaqatKubra
163,0230IbnSacd.TabaqatKubra,2980,0230IbnSacd.TabaqatKubra
164,0230IbnSacd.TabaqatKubra,2985,0198SufyanIbnCuyayna
165,0230IbnSacd.TabaqatKubra,3009,0230IbnSacd.TabaqatKubra
166,0230IbnSacd.TabaqatKubra,3037,0230IbnSacd.TabaqatKubra
167,0230IbnSacd.TabaqatKubra,3043,0230IbnSacd.TabaqatKubra
168,0230IbnSacd.TabaqatKubra,3044,0230IbnSacd.TabaqatKubra
169,0230IbnSacd.TabaqatKubra,3045,0230IbnSacd.TabaqatKubra
170,0230IbnSacd.TabaqatKubra,3060,0230IbnSacd.TabaqatKubra
171,0230IbnSacd.TabaqatKubra,3063,0230IbnSacd.TabaqatKubra
172,0230IbnSacd.TabaqatKubra,3064,0230IbnSacd.TabaqatKubra
173,0230IbnSacd.TabaqatKubra,3067,0230IbnSacd.TabaqatKubra
174,0230IbnSacd.TabaqatKubra,3069,0230IbnSacd.TabaqatKubra
175,0230IbnSacd.TabaqatKubra,3070,0230IbnSacd.TabaqatKubra
176,0230IbnSacd.TabaqatKubra,3076,0230IbnSacd.TabaqatKubra
177,0230IbnSacd.TabaqatKubra,3080,0230IbnSacd.TabaqatKubra
178,0230IbnSacd.TabaqatKubra,3092,0230IbnSacd.TabaqatKubra
179,0230IbnSacd.TabaqatKubra,3098,0230IbnSacd.TabaqatKubra
180,0230IbnSacd.TabaqatKubra,3105,0198SufyanIbnCuyayna
181,0230IbnSacd.TabaqatKubra,3112,0198SufyanIbnCuyayna
182,0230IbnSacd.TabaqatKubra,3114,0198SufyanIbnCuyayna
183,0230IbnSacd.TabaqatKubra,3115,0230IbnSacd.TabaqatKubra
184,0230IbnSacd.TabaqatKubra,3121,0230IbnSacd.TabaqatKubra
185,0230IbnSacd.TabaqatKubra,3123,0198SufyanIbnCuyayna
186,0230IbnSacd.TabaqatKubra,3124,0198SufyanIbnCuyayna
187,0230IbnSacd.TabaqatKubra,3126,0198SufyanIbnCuyayna
188,0230IbnSacd.TabaqatKubra,3129,0230IbnSacd.TabaqatKubra
189,0230IbnSacd.TabaqatKubra,3130,0230IbnSacd.TabaqatKubra
190,0230IbnSacd.TabaqatKubra,3134,0230IbnSacd.TabaqatKubra
191,0230IbnSacd.TabaqatKubra,3137,0230IbnSacd.TabaqatKubra
192,0230IbnSacd.TabaqatKubra,3142,0230IbnSacd.TabaqatKubra
193,0230IbnSacd.TabaqatKubra,3165,0230IbnSacd.TabaqatKubra
194,0230IbnSacd.TabaqatKubra,3174,0230IbnSacd.TabaqatKubra
195,0230IbnSacd.TabaqatKubra,3179,0230IbnSacd.TabaqatKubra
196,0230IbnSacd.TabaqatKubra,3186,0230IbnSacd.TabaqatKubra
197,0230IbnSacd.TabaqatKubra,3191,0230IbnSacd.TabaqatKubra
198,0230IbnSacd.TabaqatKubra,3213,0230IbnSacd.TabaqatKubra
199,0230IbnSacd.TabaqatKubra,3245,0230IbnSacd.TabaqatKubra
200,0230IbnSacd.TabaqatKubra,3280,0230IbnSacd.TabaqatKubra
201,0230IbnSacd.TabaqatKubra,3323,0230IbnSacd.TabaqatKubra
202,0230IbnSacd.TabaqatKubra,3330,0198SufyanIbnCuyayna
203,0230IbnSacd.TabaqatKubra,3400,0230IbnSacd.TabaqatKubra
204,0230IbnSacd.TabaqatKubra,3406,0230IbnSacd.TabaqatKubra
205,0230IbnSacd.TabaqatKubra,3411,0230IbnSacd.TabaqatKubra
