ms,word_1
989,رايت
990,رتبه
990,الحارات
1001,دار
1014,انها
1014,وصار
1014,دار
1014,مصلي
1014,هيه
1019,المامون
1026,مشيرا
1029,الحارات
1029,وخلفت
1030,ما
1030,وفي
1030,دار
1031,وفي
1036,دار
1036,كان
1039,الدار
1041,عنه
1043,اصطبل
1053,يا
1053,الفقيه
1057,ما
1057,الف
1059,ولم
1060,وهيت
1060,ومن
1064,اولا
1066,علي
1077,المرخ
1077,تجهيز
1082,الوزير
1083,ولما
1085,القاد
1089,وللناس
1089,الا
1089,الخليفه
1089,ما
1090,انا
1091,الخليفه
1091,لبيك
1091,اين
1091,مجيبا
1091,الشريف
1092,الخركاه
1096,لجماعه
1096,يا
1099,الايام
1099,دار
1100,عند
1100,المشهد
1101,ما
1101,الشريف
1102,السماط
1102,اسمطه
1102,فضال
1103,مذاهبهم
1103,وفي
1112,ومقدار
1112,الحافظ
1114,وذكر
1114,وعدد
1114,وفي
1115,حارات
1115,والمحله
1115,واقعه
1120,ياقوت
1120,احول
1125,فيه
1125,يا
1125,اني
1125,السمع
1127,كنت
1138,واختطت
1138,الامرا
1140,الفقيه
1142,الشريف
1142,ولم
1148,لطبيبه
1148,يا
1149,وزاره
1156,وعمر
1157,مناظر
1163,ياقوت
1163,اخطاط
1163,ما
1166,خذوه
1166,الاخشيد
1166,وفي
1168,وامر
1168,كافور
1174,انهما
1174,فاذا
1179,يا
1179,عبدك
1179,ويحك
1179,قل
1179,ويحك
1179,معاذ
1179,العداس
1179,فهد
1179,العداس
1184,صدق
1184,طرنطاي
1189,الاديب
1189,الزمان
1189,ذلك
1190,الرحاب
1197,اين
1198,قاضي
1198,امنه
1211,الخوخ
1216,يا
1216,الخازن
1216,الرحاب
1217,ما
1217,ذلك
1218,ذلك
1218,الجوامع
1220,دار
1224,الدور
1226,المنتزهات
1229,المدارس
1239,ما
1244,الخانقاه
1249,انظر
1249,شيخو
1250,الصفدي
1255,مناظر
1261,لطوخي
1261,طوخي
1261,ازبك
1261,نحن
1264,اذا
1267,صدقات
1280,مناظر
1284,فيه
1286,الامام
1288,الحذر
1288,اخاف
1288,للسلطان
1290,يا
1297,الشريف
1298,تلك
1298,ماذا
1299,اريد
1299,اواه
1300,انت
1301,الاخطاط
1304,كناس
1305,عند
1305,ساحل
1305,ما
1309,لصاحبها
1309,الحافظ
1310,حدثني
1310,بلغ
1310,اذا
1310,فاجتمعت
1310,يا
1311,كذلك
1311,فلم
1311,يا
1311,كيف
1311,يا
1311,اخبرني
1311,لديوانه
1312,قولوا
1312,يا
1312,فدخلت
1312,والله
1312,انما
1312,يجري
1314,اخبرني
1314,بسعاده
1314,يا
1314,وذلك
1315,الاسواق
1322,ايش
1325,القصر
1325,الدور
1326,الاسواق
1333,ابواب
1335,كنت
1337,يا
1339,ذلك
1347,القياسر
1349,عند
1349,الاخطاط
1351,تزوج
1354,ظواهر
1355,العواد
1359,عند
1359,المقابر
1359,عند
1359,المناظر
1359,البرك
1359,العسكر
1360,عند
1360,القناطر
1360,عند
1360,الاحكار
1361,هذه
1362,الحارات
1363,الاسواق
1363,خبرها
1363,المناظر
1363,هنا
1363,ميدان
1368,خبر
1368,القلعه
1369,عند
1369,المقابر
1369,بر
1370,مدينه
1370,عند
1370,الميادين
1370,الاحكار
1371,وهذا
1375,عند
1375,الكناس
1376,خبر
1376,خطط
1376,هما
1381,خبر
1381,الميادين
1382,عند
1382,البرك
1382,منشاه
1386,المقس
1386,الصناعات
1386,مسير
1388,سالت
1388,ما
1388,كنت
1390,امسك
1390,فاعطاه
1390,ثم
1390,اعطني
1390,انا
1390,فرجع
1390,فقال
1391,اذا
1391,خذوا
1391,ارادوا
1391,ما
1391,فقال
1395,ميدان
1397,فوهبها
1398,البرك
1398,حشيشه
1398,الحسن
1399,ثم
1399,بينما
1399,فخرجنا
1399,الشيخ
1399,ولم
1401,وانا
1402,ويسمي
1402,والفقرا
1402,انها
1402,يحيي
1402,صاحب
1402,ولم
1404,ارض
1404,المناظر
1406,منيه
1406,ياقوت
1406,ومنيه
1406,الشريف
1406,النيل
1407,عند
1407,الجسور
1407,كوم
1408,بولاق
1409,ما
1410,الخور
1412,خارج
1413,الحارات
1420,خارج
1420,المناظر
1420,خبر
1420,مناظر
1426,خارج
1428,الخلجان
1428,خليج
1432,علما
1432,حفر
1437,البلاذري
1437,يكتب
1437,ركوب
1438,وفي
1438,ذلك
1442,القناطر
1442,خليج
1444,لومرا
1445,القنطره
1445,والله
1445,كيف
1445,السباع
1446,خبرها
1446,الخوخ
1447,مناظر
1449,الجسور
1449,ذلك
1451,يا
1454,الشهاب
1454,تسلسلت
1454,اهل
1455,البرك
1455,الجسور
1458,انها
1461,ايضا
1462,يا
1462,ابراهيم
1462,ما
1467,بساتين
1467,لابن
1473,المعشوق
1473,خطه
1474,كلا
1477,عند
1477,الاحكار
1477,بنو
1477,اليمني
1477,لمن
1477,لغلامك
1477,ما
1478,فيقولون
1478,العجب
1478,القاهره
1478,فيه
1479,الاحكار
1483,الشريف
1486,كناس
1486,الجسور
1486,الخليل
1501,لسيده
1501,هم
1513,اذا
1513,الجزار
1524,الخليفه
1527,الحافظ
1527,ومن
1528,العلامه
1528,الروضه
1533,تصير
1534,نحو
1535,السجون
1535,وحبسه
1535,سيبويه
1535,اتيت
1535,ما
1544,والسبب
1546,منهم
1546,وانثي
1546,وانثي
1547,وانثي
1547,وانثي
1547,وانثي
1547,وانثي
1547,وانثي
1548,وانثي
1552,خبر
1552,اقسام
1552,الزكاه
1557,وهو
1560,الميادين
1560,خبر
1560,القطاع
1563,ذلك
1569,ثم
1576,صفه
1582,النظر
1585,خدمه
1589,هذه
1590,لشاد
1590,العلامه
1596,المدارس
1613,جميع
1616,المدارس
1618,الاسباب
1618,اتي
1618,الثعلبي
1618,قيل
1618,انا
1619,فان
1627,استخدموا
1627,الاقطاعات
1627,النيابه
1627,قديم
1628,والاخر
1629,وتكون
1629,خلا
1630,ولم
1631,القطاع
1634,كم
1634,ليس
1634,كم
1636,جماعه
1639,براجوها
1639,ملوك
1640,الامرا
1640,العجم
1640,اكردوهم
1654,اسمه
1659,دوله
1667,المساجد
1670,الجوامع
1670,قال
1673,لهما
1673,انتصفت
1673,فشرقت
1673,هكذا
1673,الخليل
1673,ضع
1673,بيده
1673,الواقدي
1673,اول
1686,ولما
1689,تميم
1689,عن
1689,اول
1689,امنا
1692,اعزم
1693,المواضع
1693,رايت
1693,اتريد
1695,ذلك
1695,اخبرني
1695,اخبرني
1695,المحاريب
1697,واذا
1711,جماعه
1717,انا
1718,يقول
1719,الخطيب
1719,متي
1719,والله
1719,فلما
1723,تبني
1723,مدرسته
1727,الفقيه
1727,بنا
1727,الاسواق
1727,الاذان
1730,الواقدي
1730,السلام
1730,البلاذري
1730,غيره
1732,اسماعيل
1735,تفصيلهم
1735,اني
1737,ووصف
1746,وتم
1750,اشهدوا
1750,ذلك
1751,مذهب
1751,ليس
1751,نحن
1751,قال
1751,المناوي
1752,النبي
1752,سراج
1752,لم
1752,فاردت
1752,كيف
1752,كيف
1752,يبطل
1752,للحاضرين
1755,وانا
1766,وخرجت
1772,فيه
1773,هكذا
1773,بسم
1775,فيه
1775,جلوس
1775,فهذا
1775,فيه
1786,الشريف
1787,جميع
1788,احد
1793,اكون
1793,السمع
1794,رباط
1807,الغاسل
1811,عند
1817,وجعل
1821,للسلطان
1825,عند
1825,الاحكار
1830,كيف
1830,كيف
1836,القصير
1837,الشريف
1837,اجتمعنا
1838,يا
1838,اي
1838,بس
1838,ما
1838,ما
1850,لفتح
1850,صدق
1852,الاحكار
1859,اخر
1859,قريني
1859,الاديب
1859,اخر
1862,مذاهب
1865,عن
1865,كان
1865,دخلت
1865,عمد
1875,علي
1875,لليدين
1876,احفظوني
1878,للجند
1879,احذروا
1879,ذلك
1883,الصحابه
1883,السلف
1893,فرق
1896,هلا
1898,لو
1898,اراده
1898,باللطف
1899,لان
1899,لو
1899,انما
1905,لعلهم
1913,بالتشبيه
1918,اطفال
1918,ثعلبه
1918,نتوقف
1920,الحال
1921,بالقدر
1921,كذب
1925,بالفاعل
1932,اخرون
1933,صفات
1933,الشافعي
1934,المخلوقات
1934,عز
1934,ليس
1936,المدارس
1936,الواقدي
1942,رسم
1949,الخادم
1958,الفقيه
1958,الصاحب
1959,يا
1959,خذ
1959,يا
1966,وتسلم
1974,الجهاد
1974,ما
1982,للفراش
1983,للسلطان
1984,بكم
1984,باربعماه
1984,ارنيه
1987,ش
1987,تبلغوا
1989,انا
1989,والله
1992,لفراشه
1994,ما
1997,الرحاب
1999,هذه
2007,لو
2028,للشجاعي
2029,انا
2029,ولاه
2030,يا
2030,قول
2030,الشجاعي
2031,ومدرسه
2031,المساجد
2031,الزجاج
2031,جعلت
2037,عنه
2037,ما
2040,الكندي
2043,اريد
2046,فقطعت
2052,مدرسه
2054,الخانقاه
2056,ذلك
2056,الاسباب
2059,بركه
2061,اراضي
2061,ولم
2063,بكتمر
2063,هذه
2065,ومن
2065,قوصون
2068,الجوامع
2072,الامام
2074,اكرم
2074,يا
2077,خضر
2102,مقابر
2102,سيبويه
2103,الشافعي
2103,القرافه
2103,وهذا
2103,سال
2103,اكتب
2103,انا
2105,ياقوت
2105,الشريف
2107,المساجد
2107,الكندي
2110,الساعه
2110,هاتوا
2111,عند
2111,محاريب
2115,الشريف
2115,كان
2115,ولدت
2115,كان
2116,مولاي
2117,حدثني
2117,كان
2117,السمع
2117,عند
2117,الجوامع
2120,انزلوا
2120,راسه
2120,لعبد
2120,انزلوا
2120,راسه
2120,ليوسف
2120,المقس
2120,ظواهر
2120,الجواسيق
2120,الشريف
2121,لاحد
2123,الرباطات
2123,المصليات
2125,المساجد
2127,مسجد
2127,الجوامع
2128,الحفار
2128,خبر
2128,حمام
2128,يا
2128,اشرب
2128,يا
2128,هل
2132,ومن
2132,كريب
2132,ما
2134,بساتين
2134,يوما
2134,اريد
2134,ما
2135,الاحواض
2135,الابار
2137,دم
2138,ايضا
2140,علا
2140,اخر
2142,المقابر
2142,الشريف
2144,كناس
2144,المفسرون
2154,عن
2154,علي
2158,وان
2158,لقومه
2159,ليقرب
2159,لاحب
2161,ذلك
2161,تاريخ
2167,معني
2168,معتقد
2170,فرق
2173,السمره
2175,وهم
2181,الاستاذ
2181,ديانه
2181,الموفق
2190,عنه
2191,التواريخ
2192,عن
2192,اريوس
2192,الاسكندروس
2192,اريوس
2192,الاسكندروس
2195,به
2196,بقوله
2197,انما
2199,هذه
2202,يا
2202,كل
2205,دخول
2206,للبطرك
2229,فيه
2232,الشابشتي
2233,كنيسه
2233,الشابشتي
2237,فعلم
2241,مرخو
2244,الواحدي
2244,الكلبي
2244,الكلبي
2244,السهيلي
2244,قال
2244,شعبه
2244,طلق
2244,انما
2244,كور
2246,كناس
2246,الازهري
2246,العباس
2252,يا
2256,الابوبكري
2256,ناب
2256,للامير
2256,لوالي
2257,للوالي
