,uri,ms,text_uri
95,0230IbnSacd.TabaqatKubra,1978,0230IbnSacd.TabaqatKubra
96,0230IbnSacd.TabaqatKubra,2002,0230IbnSacd.TabaqatKubra
97,0230IbnSacd.TabaqatKubra,2085,0230IbnSacd.TabaqatKubra
98,0230IbnSacd.TabaqatKubra,2116,0230IbnSacd.TabaqatKubra
99,0230IbnSacd.TabaqatKubra,2154,0230IbnSacd.TabaqatKubra
100,0230IbnSacd.TabaqatKubra,2234,0230IbnSacd.TabaqatKubra
101,0230IbnSacd.TabaqatKubra,2263,0230IbnSacd.TabaqatKubra
102,0230IbnSacd.TabaqatKubra,2277,0230IbnSacd.TabaqatKubra
103,0230IbnSacd.TabaqatKubra,2278,0230IbnSacd.TabaqatKubra
104,0230IbnSacd.TabaqatKubra,2280,0230IbnSacd.TabaqatKubra
105,0230IbnSacd.TabaqatKubra,2345,0230IbnSacd.TabaqatKubra
106,0230IbnSacd.TabaqatKubra,2349,0230IbnSacd.TabaqatKubra
107,0230IbnSacd.TabaqatKubra,2455,0230IbnSacd.TabaqatKubra
108,0230IbnSacd.TabaqatKubra,2489,0230IbnSacd.TabaqatKubra
109,0230IbnSacd.TabaqatKubra,2490,0230IbnSacd.TabaqatKubra
110,0230IbnSacd.TabaqatKubra,2496,0230IbnSacd.TabaqatKubra
111,0230IbnSacd.TabaqatKubra,2520,0230IbnSacd.TabaqatKubra
112,0230IbnSacd.TabaqatKubra,2587,0230IbnSacd.TabaqatKubra
113,0230IbnSacd.TabaqatKubra,2589,0230IbnSacd.TabaqatKubra
114,0230IbnSacd.TabaqatKubra,2702,0230IbnSacd.TabaqatKubra
115,0230IbnSacd.TabaqatKubra,2808,0230IbnSacd.TabaqatKubra
116,0230IbnSacd.TabaqatKubra,2810,0230IbnSacd.TabaqatKubra
117,0230IbnSacd.TabaqatKubra,2834,0230IbnSacd.TabaqatKubra
118,0230IbnSacd.TabaqatKubra,2843,0230IbnSacd.TabaqatKubra
119,0230IbnSacd.TabaqatKubra,2844,0230IbnSacd.TabaqatKubra
120,0230IbnSacd.TabaqatKubra,2856,0230IbnSacd.TabaqatKubra
121,0230IbnSacd.TabaqatKubra,2860,0230IbnSacd.TabaqatKubra
122,0230IbnSacd.TabaqatKubra,2861,0230IbnSacd.TabaqatKubra
123,0230IbnSacd.TabaqatKubra,2865,0230IbnSacd.TabaqatKubra
124,0230IbnSacd.TabaqatKubra,2878,0230IbnSacd.TabaqatKubra
125,0230IbnSacd.TabaqatKubra,2881,0230IbnSacd.TabaqatKubra
126,0230IbnSacd.TabaqatKubra,2883,0230IbnSacd.TabaqatKubra
127,0230IbnSacd.TabaqatKubra,2884,0230IbnSacd.TabaqatKubra
128,0230IbnSacd.TabaqatKubra,2890,0230IbnSacd.TabaqatKubra
129,0230IbnSacd.TabaqatKubra,2897,0230IbnSacd.TabaqatKubra
130,0230IbnSacd.TabaqatKubra,2900,0230IbnSacd.TabaqatKubra
131,0230IbnSacd.TabaqatKubra,2902,0230IbnSacd.TabaqatKubra
132,0230IbnSacd.TabaqatKubra,2903,0230IbnSacd.TabaqatKubra
133,0230IbnSacd.TabaqatKubra,2907,0230IbnSacd.TabaqatKubra
134,0230IbnSacd.TabaqatKubra,2915,0230IbnSacd.TabaqatKubra
135,0230IbnSacd.TabaqatKubra,2917,0230IbnSacd.TabaqatKubra
136,0230IbnSacd.TabaqatKubra,2918,0230IbnSacd.TabaqatKubra
137,0230IbnSacd.TabaqatKubra,2922,0230IbnSacd.TabaqatKubra
138,0230IbnSacd.TabaqatKubra,2924,0230IbnSacd.TabaqatKubra
139,0230IbnSacd.TabaqatKubra,2925,0230IbnSacd.TabaqatKubra
140,0230IbnSacd.TabaqatKubra,2929,0230IbnSacd.TabaqatKubra
141,0230IbnSacd.TabaqatKubra,2931,0230IbnSacd.TabaqatKubra
142,0230IbnSacd.TabaqatKubra,2945,0230IbnSacd.TabaqatKubra
143,0230IbnSacd.TabaqatKubra,2946,0230IbnSacd.TabaqatKubra
144,0230IbnSacd.TabaqatKubra,2947,0230IbnSacd.TabaqatKubra
145,0230IbnSacd.TabaqatKubra,2954,0230IbnSacd.TabaqatKubra
146,0230IbnSacd.TabaqatKubra,2966,0230IbnSacd.TabaqatKubra
147,0230IbnSacd.TabaqatKubra,2967,0230IbnSacd.TabaqatKubra
148,0230IbnSacd.TabaqatKubra,2980,0230IbnSacd.TabaqatKubra
149,0230IbnSacd.TabaqatKubra,3009,0230IbnSacd.TabaqatKubra
150,0230IbnSacd.TabaqatKubra,3037,0230IbnSacd.TabaqatKubra
151,0230IbnSacd.TabaqatKubra,3043,0230IbnSacd.TabaqatKubra
152,0230IbnSacd.TabaqatKubra,3044,0230IbnSacd.TabaqatKubra
153,0230IbnSacd.TabaqatKubra,3045,0230IbnSacd.TabaqatKubra
154,0230IbnSacd.TabaqatKubra,3060,0230IbnSacd.TabaqatKubra
155,0230IbnSacd.TabaqatKubra,3063,0230IbnSacd.TabaqatKubra
156,0230IbnSacd.TabaqatKubra,3064,0230IbnSacd.TabaqatKubra
157,0230IbnSacd.TabaqatKubra,3067,0230IbnSacd.TabaqatKubra
158,0230IbnSacd.TabaqatKubra,3069,0230IbnSacd.TabaqatKubra
159,0230IbnSacd.TabaqatKubra,3070,0230IbnSacd.TabaqatKubra
160,0230IbnSacd.TabaqatKubra,3076,0230IbnSacd.TabaqatKubra
161,0230IbnSacd.TabaqatKubra,3080,0230IbnSacd.TabaqatKubra
162,0230IbnSacd.TabaqatKubra,3092,0230IbnSacd.TabaqatKubra
163,0230IbnSacd.TabaqatKubra,3098,0230IbnSacd.TabaqatKubra
164,0230IbnSacd.TabaqatKubra,3115,0230IbnSacd.TabaqatKubra
165,0230IbnSacd.TabaqatKubra,3121,0230IbnSacd.TabaqatKubra
166,0230IbnSacd.TabaqatKubra,3129,0230IbnSacd.TabaqatKubra
167,0230IbnSacd.TabaqatKubra,3130,0230IbnSacd.TabaqatKubra
168,0230IbnSacd.TabaqatKubra,3134,0230IbnSacd.TabaqatKubra
169,0230IbnSacd.TabaqatKubra,3137,0230IbnSacd.TabaqatKubra
170,0230IbnSacd.TabaqatKubra,3142,0230IbnSacd.TabaqatKubra
171,0230IbnSacd.TabaqatKubra,3165,0230IbnSacd.TabaqatKubra
