,uri,ms,origin,origin_prev_ms
41,0257IbnCabdHakam.FutuhMisr,130,self,False
42,0257IbnCabdHakam.FutuhMisr,131,self,False
43,0257IbnCabdHakam.FutuhMisr,132,self,False
44,0257IbnCabdHakam.FutuhMisr,158,self,False
45,0257IbnCabdHakam.FutuhMisr,160,self,False
46,0257IbnCabdHakam.FutuhMisr,167,self,False
47,0257IbnCabdHakam.FutuhMisr,168,self,False
48,0257IbnCabdHakam.FutuhMisr,169,self,False
49,0257IbnCabdHakam.FutuhMisr,172,self,False
50,0257IbnCabdHakam.FutuhMisr,173,self,False
51,0257IbnCabdHakam.FutuhMisr,174,self,False
52,0257IbnCabdHakam.FutuhMisr,175,self,False
53,0257IbnCabdHakam.FutuhMisr,176,self,False
54,0257IbnCabdHakam.FutuhMisr,177,self,False
55,0257IbnCabdHakam.FutuhMisr,178,self,False
56,0257IbnCabdHakam.FutuhMisr,179,self,False
57,0257IbnCabdHakam.FutuhMisr,180,self,False
58,0257IbnCabdHakam.FutuhMisr,307,self,False
59,0257IbnCabdHakam.FutuhMisr,321,self,False
60,0257IbnCabdHakam.FutuhMisr,323,self,False
61,0257IbnCabdHakam.FutuhMisr,326,self,False
62,0257IbnCabdHakam.FutuhMisr,327,self,False
63,0257IbnCabdHakam.FutuhMisr,336,self,False
64,0257IbnCabdHakam.FutuhMisr,337,self,False
65,0257IbnCabdHakam.FutuhMisr,338,self,False
66,0257IbnCabdHakam.FutuhMisr,339,self,False
67,0257IbnCabdHakam.FutuhMisr,340,self,False
68,0257IbnCabdHakam.FutuhMisr,361,self,False
69,0257IbnCabdHakam.FutuhMisr,362,self,False
70,0257IbnCabdHakam.FutuhMisr,363,self,False
71,0257IbnCabdHakam.FutuhMisr,364,self,False
72,0257IbnCabdHakam.FutuhMisr,373,self,False
73,0257IbnCabdHakam.FutuhMisr,374,self,False
74,0257IbnCabdHakam.FutuhMisr,375,self,False
75,0257IbnCabdHakam.FutuhMisr,376,self,False
76,0257IbnCabdHakam.FutuhMisr,377,self,False
77,0257IbnCabdHakam.FutuhMisr,378,self,False
78,0257IbnCabdHakam.FutuhMisr,379,self,False
79,0257IbnCabdHakam.FutuhMisr,380,self,False
80,0257IbnCabdHakam.FutuhMisr,381,self,False
81,0257IbnCabdHakam.FutuhMisr,382,self,False
82,0257IbnCabdHakam.FutuhMisr,383,self,False
83,0257IbnCabdHakam.FutuhMisr,384,self,False
84,0257IbnCabdHakam.FutuhMisr,385,self,False
85,0257IbnCabdHakam.FutuhMisr,386,self,False
86,0257IbnCabdHakam.FutuhMisr,387,self,False
87,0257IbnCabdHakam.FutuhMisr,388,self,False
88,0257IbnCabdHakam.FutuhMisr,433,self,False
89,0257IbnCabdHakam.FutuhMisr,468,self,False
90,0257IbnCabdHakam.FutuhMisr,470,self,False
91,0257IbnCabdHakam.FutuhMisr,471,self,False
92,0257IbnCabdHakam.FutuhMisr,475,self,False
93,0257IbnCabdHakam.FutuhMisr,476,self,False
94,0257IbnCabdHakam.FutuhMisr,477,self,False
95,0257IbnCabdHakam.FutuhMisr,478,self,False
96,0257IbnCabdHakam.FutuhMisr,557,self,False
97,0257IbnCabdHakam.FutuhMisr,558,self,False
98,0257IbnCabdHakam.FutuhMisr,559,self,False
99,0257IbnCabdHakam.FutuhMisr,560,self,False
100,0257IbnCabdHakam.FutuhMisr,561,self,False
101,0257IbnCabdHakam.FutuhMisr,562,self,False
102,0257IbnCabdHakam.FutuhMisr,563,self,False
103,0257IbnCabdHakam.FutuhMisr,569,self,False
104,0257IbnCabdHakam.FutuhMisr,654,self,False
105,0257IbnCabdHakam.FutuhMisr,656,self,False
106,0257IbnCabdHakam.FutuhMisr,657,self,False
107,0257IbnCabdHakam.FutuhMisr,658,self,False
108,0257IbnCabdHakam.FutuhMisr,659,self,False
109,0257IbnCabdHakam.FutuhMisr,660,self,False
110,0257IbnCabdHakam.FutuhMisr,661,self,False
111,0257IbnCabdHakam.FutuhMisr,662,self,False
112,0257IbnCabdHakam.FutuhMisr,663,self,False
113,0257IbnCabdHakam.FutuhMisr,664,self,False
114,0257IbnCabdHakam.FutuhMisr,665,self,False
115,0257IbnCabdHakam.FutuhMisr,666,self,False
116,0257IbnCabdHakam.FutuhMisr,667,self,False
117,0257IbnCabdHakam.FutuhMisr,668,self,False
118,0257IbnCabdHakam.FutuhMisr,669,self,False
119,0257IbnCabdHakam.FutuhMisr,670,self,False
120,0257IbnCabdHakam.FutuhMisr,671,self,False
121,0257IbnCabdHakam.FutuhMisr,672,self,False
122,0257IbnCabdHakam.FutuhMisr,673,self,False
123,0257IbnCabdHakam.FutuhMisr,674,self,False
124,0257IbnCabdHakam.FutuhMisr,675,self,False
125,0257IbnCabdHakam.FutuhMisr,676,self,False
126,0257IbnCabdHakam.FutuhMisr,1421,self,False
127,0257IbnCabdHakam.FutuhMisr,1422,self,False
128,0257IbnCabdHakam.FutuhMisr,1432,self,False
129,0257IbnCabdHakam.FutuhMisr,1433,self,False
130,0257IbnCabdHakam.FutuhMisr,1434,self,False
131,0257IbnCabdHakam.FutuhMisr,1435,self,False
132,0257IbnCabdHakam.FutuhMisr,1436,self,False
133,0257IbnCabdHakam.FutuhMisr,1515,self,False
134,0257IbnCabdHakam.FutuhMisr,1697,self,False
135,0257IbnCabdHakam.FutuhMisr,1938,self,False
136,0257IbnCabdHakam.FutuhMisr,2230,self,False
137,0458IbnSidaMursi.MuhkamWaMuhit,1227,self,False
138,0458IbnSidaMursi.MuhkamWaMuhit,1387,self,False
139,0665AbuShama.Rawdatayn,1760,self,False
140,0310Tabari.Tarikh,350,self,False
141,0350Balawi.SiratAhmadIbnTulun,391,self,False
142,0350Balawi.SiratAhmadIbnTulun,524,self,False
143,0350Balawi.SiratAhmadIbnTulun,525,self,False
144,0350Balawi.SiratAhmadIbnTulun,1393,self,False
145,0350Balawi.SiratAhmadIbnTulun,1717,self,False
146,0350Balawi.SiratAhmadIbnTulun,1718,self,False
147,0350Balawi.SiratAhmadIbnTulun,1719,self,False
148,0350Balawi.SiratAhmadIbnTulun,1720,self,False
149,0350Balawi.SiratAhmadIbnTulun,1721,self,False
150,0350Balawi.SiratAhmadIbnTulun,1722,self,False
151,0350Balawi.SiratAhmadIbnTulun,2025,self,False
152,0350Balawi.SiratAhmadIbnTulun,2129,self,False
153,0350Balawi.SiratAhmadIbnTulun,2130,self,False
154,0692IbnCabdZahir.RawdaBahiyya,285,self,False
155,0692IbnCabdZahir.RawdaBahiyya,820,self,False
156,0692IbnCabdZahir.RawdaBahiyya,884,self,False
157,0692IbnCabdZahir.RawdaBahiyya,914,self,False
158,0692IbnCabdZahir.RawdaBahiyya,919,self,False
159,0692IbnCabdZahir.RawdaBahiyya,921,self,False
160,0692IbnCabdZahir.RawdaBahiyya,962,self,False
161,0692IbnCabdZahir.RawdaBahiyya,963,self,False
162,0692IbnCabdZahir.RawdaBahiyya,976,self,False
163,0692IbnCabdZahir.RawdaBahiyya,985,self,False
164,0692IbnCabdZahir.RawdaBahiyya,987,self,False
165,0692IbnCabdZahir.RawdaBahiyya,999,self,False
166,0692IbnCabdZahir.RawdaBahiyya,1001,self,False
167,0692IbnCabdZahir.RawdaBahiyya,1002,self,False
168,0692IbnCabdZahir.RawdaBahiyya,1003,self,False
169,0692IbnCabdZahir.RawdaBahiyya,1014,self,False
170,0692IbnCabdZahir.RawdaBahiyya,1030,self,False
171,0692IbnCabdZahir.RawdaBahiyya,1035,self,False
172,0692IbnCabdZahir.RawdaBahiyya,1038,self,False
173,0692IbnCabdZahir.RawdaBahiyya,1039,self,False
174,0692IbnCabdZahir.RawdaBahiyya,1052,self,False
175,0692IbnCabdZahir.RawdaBahiyya,1053,self,False
176,0692IbnCabdZahir.RawdaBahiyya,1056,self,False
177,0692IbnCabdZahir.RawdaBahiyya,1077,self,False
178,0692IbnCabdZahir.RawdaBahiyya,1080,self,False
179,0692IbnCabdZahir.RawdaBahiyya,1092,self,False
180,0692IbnCabdZahir.RawdaBahiyya,1093,self,False
181,0692IbnCabdZahir.RawdaBahiyya,1094,self,False
182,0692IbnCabdZahir.RawdaBahiyya,1095,self,False
183,0692IbnCabdZahir.RawdaBahiyya,1112,self,False
184,0692IbnCabdZahir.RawdaBahiyya,1120,self,False
185,0692IbnCabdZahir.RawdaBahiyya,1121,self,False
186,0692IbnCabdZahir.RawdaBahiyya,1128,self,False
187,0692IbnCabdZahir.RawdaBahiyya,1129,self,False
188,0692IbnCabdZahir.RawdaBahiyya,1138,self,False
189,0692IbnCabdZahir.RawdaBahiyya,1141,self,False
190,0692IbnCabdZahir.RawdaBahiyya,1147,self,False
191,0692IbnCabdZahir.RawdaBahiyya,1148,self,False
192,0692IbnCabdZahir.RawdaBahiyya,1153,self,False
193,0692IbnCabdZahir.RawdaBahiyya,1155,self,False
194,0692IbnCabdZahir.RawdaBahiyya,1156,self,False
195,0692IbnCabdZahir.RawdaBahiyya,1167,self,False
196,0692IbnCabdZahir.RawdaBahiyya,1191,self,False
197,0692IbnCabdZahir.RawdaBahiyya,1254,self,False
198,0692IbnCabdZahir.RawdaBahiyya,1293,self,False
199,0692IbnCabdZahir.RawdaBahiyya,1301,self,False
200,0692IbnCabdZahir.RawdaBahiyya,1309,self,False
201,0692IbnCabdZahir.RawdaBahiyya,1320,self,False
202,0692IbnCabdZahir.RawdaBahiyya,1322,self,False
203,0692IbnCabdZahir.RawdaBahiyya,1323,self,False
204,0692IbnCabdZahir.RawdaBahiyya,1329,self,False
205,0692IbnCabdZahir.RawdaBahiyya,1344,self,False
206,0692IbnCabdZahir.RawdaBahiyya,1364,self,False
207,0692IbnCabdZahir.RawdaBahiyya,1392,self,False
208,0692IbnCabdZahir.RawdaBahiyya,1395,self,False
209,0692IbnCabdZahir.RawdaBahiyya,1396,self,False
210,0692IbnCabdZahir.RawdaBahiyya,1397,self,False
211,0692IbnCabdZahir.RawdaBahiyya,1406,self,False
212,0692IbnCabdZahir.RawdaBahiyya,1426,self,False
213,0692IbnCabdZahir.RawdaBahiyya,1439,self,False
214,0692IbnCabdZahir.RawdaBahiyya,1440,self,False
215,0692IbnCabdZahir.RawdaBahiyya,1443,self,False
216,0692IbnCabdZahir.RawdaBahiyya,1573,self,False
217,0692IbnCabdZahir.RawdaBahiyya,1574,self,False
218,0692IbnCabdZahir.RawdaBahiyya,1575,self,False
219,0692IbnCabdZahir.RawdaBahiyya,1576,self,False
220,0692IbnCabdZahir.RawdaBahiyya,1638,self,False
221,0692IbnCabdZahir.RawdaBahiyya,1717,self,False
222,0692IbnCabdZahir.RawdaBahiyya,1722,self,False
223,0692IbnCabdZahir.RawdaBahiyya,1723,self,False
224,0692IbnCabdZahir.RawdaBahiyya,1740,self,False
225,0692IbnCabdZahir.RawdaBahiyya,1746,self,False
226,0692IbnCabdZahir.RawdaBahiyya,1747,self,False
227,0692IbnCabdZahir.RawdaBahiyya,1774,self,False
228,0692IbnCabdZahir.RawdaBahiyya,1782,self,False
229,0692IbnCabdZahir.RawdaBahiyya,1796,self,False
230,0692IbnCabdZahir.RawdaBahiyya,1946,self,False
231,0692IbnCabdZahir.RawdaBahiyya,1947,self,False
232,0692IbnCabdZahir.RawdaBahiyya,1958,self,False
233,0692IbnCabdZahir.RawdaBahiyya,1959,self,False
234,0692IbnCabdZahir.RawdaBahiyya,2037,self,False
235,0692IbnCabdZahir.RawdaBahiyya,2038,self,False
236,0692IbnCabdZahir.RawdaBahiyya,2041,self,False
237,0350MuhammadKindi.WulatMisr,1477,self,False
238,0350MuhammadKindi.WulatMisr,1521,self,False
239,0350MuhammadKindi.WulatMisr,1522,self,False
240,0350MuhammadKindi.WulatMisr,1531,self,False
241,0350MuhammadKindi.WulatMisr,2025,self,False
242,0487Bakri,282,self,False
243,0346Mascudi.MurujDhahab,119,self,False
244,0346Mascudi.MurujDhahab,263,self,False
245,0346Mascudi.MurujDhahab,264,self,False
246,0346Mascudi.MurujDhahab,452,self,False
247,0346Mascudi.MurujDhahab,453,self,False
248,0346Mascudi.MurujDhahab,454,self,False
249,0346Mascudi.MurujDhahab,462,self,False
250,0346Mascudi.MurujDhahab,1391,self,False
251,0748Adfuwi,539,self,False
252,0748Adfuwi.TalicSacid,540,self,False
253,0420Musabbihi.AkhbarMisr,166,self,False
254,0420Musabbihi.AkhbarMisr,415,self,False
255,0420Musabbihi.AkhbarMisr,487,self,False
256,0420Musabbihi.AkhbarMisr,605,self,False
257,0420Musabbihi.AkhbarMisr,606,self,False
258,0420Musabbihi.AkhbarMisr,1015,self,False
259,0420Musabbihi.AkhbarMisr,1046,self,False
260,0420Musabbihi.AkhbarMisr,1172,self,False
261,0420Musabbihi.AkhbarMisr,1357,self,False
262,0420Musabbihi.AkhbarMisr,1441,self,False
263,0420Musabbihi.AkhbarMisr,1682,self,False
264,0420Musabbihi.AkhbarMisr,1757,self,False
265,0420Musabbihi.AkhbarMisr,1786,self,False
266,0420Musabbihi.AkhbarMisr,2032,self,False
267,0337QudamaIbnJacfar,119,self,False
268,0241IbnHanbal,1700,self,False
269,0596QadiFadil,144,self,False
270,0150AbuHanifa,224,self,False
271,0774IbnKathir,1736,self,False
272,0230IbnSacd.TabaqatKubra,1728,self,False
273,0596QadiFadil.Mutajaddidat,197,self,False
274,0596QadiFadil.Mutajaddidat,198,self,False
275,0596QadiFadil.Mutajaddidat,199,self,False
276,0596QadiFadil.Mutajaddidat,240,self,False
277,0596QadiFadil.Mutajaddidat,613,self,False
278,0596IbnWasifShah.MukhtasarCajaibDunya,159,self,False
279,0596IbnWasifShah.MukhtasarCajaibDunya,170,self,False
280,0596IbnWasifShah.MukhtasarCajaibDunya,295,self,False
281,0596IbnWasifShah.MukhtasarCajaibDunya,296,self,False
282,0596IbnWasifShah.MukhtasarCajaibDunya,297,self,False
283,0596IbnWasifShah.MukhtasarCajaibDunya,321,self,False
284,0596IbnWasifShah.MukhtasarCajaibDunya,322,self,False
285,0596IbnWasifShah.MukhtasarCajaibDunya,330,self,False
286,0596IbnWasifShah.MukhtasarCajaibDunya,335,self,False
287,0596IbnWasifShah.MukhtasarCajaibDunya,336,self,False
288,0596IbnWasifShah.MukhtasarCajaibDunya,358,self,False
289,0596IbnWasifShah.MukhtasarCajaibDunya,402,self,False
290,0596IbnWasifShah.MukhtasarCajaibDunya,403,self,False
291,0596IbnWasifShah.MukhtasarCajaibDunya,417,self,False
292,0596IbnWasifShah.MukhtasarCajaibDunya,521,self,False
293,0596IbnWasifShah.MukhtasarCajaibDunya,529,self,False
294,0596IbnWasifShah.MukhtasarCajaibDunya,530,self,False
295,0596IbnWasifShah.MukhtasarCajaibDunya,533,self,False
296,0596IbnWasifShah.MukhtasarCajaibDunya,534,self,False
297,0596IbnWasifShah.MukhtasarCajaibDunya,536,self,False
298,0596IbnWasifShah.MukhtasarCajaibDunya,537,self,False
299,0596IbnWasifShah.MukhtasarCajaibDunya,540,self,False
300,0596IbnWasifShah.MukhtasarCajaibDunya,543,self,False
301,0596IbnWasifShah.MukhtasarCajaibDunya,545,self,False
302,0596IbnWasifShah.MukhtasarCajaibDunya,547,self,False
303,0596IbnWasifShah.MukhtasarCajaibDunya,548,self,False
304,0596IbnWasifShah.MukhtasarCajaibDunya,549,self,False
305,0596IbnWasifShah.MukhtasarCajaibDunya,550,self,False
306,0596IbnWasifShah.MukhtasarCajaibDunya,551,self,False
307,0596IbnWasifShah.MukhtasarCajaibDunya,552,self,False
308,0596IbnWasifShah.MukhtasarCajaibDunya,553,self,False
309,0596IbnWasifShah.MukhtasarCajaibDunya,612,self,False
310,0596IbnWasifShah.MukhtasarCajaibDunya,789,self,False
311,0596IbnWasifShah.MukhtasarCajaibDunya,2182,self,False
312,0596IbnWasifShah.MukhtasarCajaibDunya,2183,self,False
313,0262CumarIbnShabba,112,self,False
314,0367IbnHawqal.SuratArd,261,self,False
315,0367IbnHawqal.SuratArd,262,self,False
316,0630IbnAbiTayyi,924,self,False
317,0630IbnAbiTayyi,961,self,False
318,0630IbnAbiTayyi,985,self,False
319,0630IbnAbiTayyi,991,self,False
320,0630IbnAbiTayyi,998,self,False
321,0630IbnAbiTayyi,1028,self,False
322,0630IbnAbiTayyi,1555,self,False
323,0630IbnAbiTayyi,1758,self,False
324,0730ShaficIbnCali,523,self,False
325,0730ShaficIbnCali,2106,self,False
326,0300IbnKhurdadhbih.MasalikWaMamalik,487,self,False
327,0209AbuCubayda,915,self,False
328,0198SufyanIbnCuyayna,219,self,False
329,0454Qudaci,378,self,False
330,0454Qudaci,1436,self,False
331,0454Qudaci,1473,self,False
332,0454Qudaci,1515,self,False
333,0454Qudaci,1720,self,False
334,0454Qudaci,2126,self,False
335,0646IbnBaytarAndalusi.JamicLiMufradat,1403,self,False
336,0606IbnMamati.QawaninDawawin,161,self,False
337,0375AnonymousTranslator.TarikhCalamUrusiyus,19,self,False
338,0375AnonymousTranslator.TarikhCalamUrusiyus,20,self,False
339,0375AnonymousTranslator.TarikhCalamUrusiyus,352,self,False
340,0375AnonymousTranslator.TarikhCalamUrusiyus,353,self,False
341,0375AnonymousTranslator.TarikhCalamUrusiyus,354,self,False
342,0375AnonymousTranslator.TarikhCalamUrusiyus,544,self,False
343,0182AbuYusufYacqub.Kharaj,1389,self,False
348,0182AbuYusufYacqub.Athar,1389,self,False
349,0182AbuYusufYacqub.Kharaj,1390,self,False
351,0182AbuYusufYacqub.Kharaj,1391,self,False
0,0692IbnCabdZahir.RawdaBahiyya,1023,0845Maqrizi.MusawwadatMawaciz.272,True
0,0420Musabbihi.AkhbarMisr,922,0845Maqrizi.MusawwadatMawaciz.195,False
1,0692IbnCabdZahir.RawdaBahiyya,922,0845Maqrizi.MusawwadatMawaciz.196,True
0,0257IbnCabdHakam.FutuhMisr,179,0911Suyuti.HusnMuhadara.100,False
1,0257IbnCabdHakam.FutuhMisr,179,0911Suyuti.HusnMuhadara.101,False
2,0257IbnCabdHakam.FutuhMisr,179,0911Suyuti.HusnMuhadara.102,False
3,0257IbnCabdHakam.FutuhMisr,179,0911Suyuti.HusnMuhadara.101,True
4,0257IbnCabdHakam.FutuhMisr,179,0911Suyuti.HusnMuhadara.102,True
5,0257IbnCabdHakam.FutuhMisr,179,0911Suyuti.HusnMuhadara.103,True
0,0262CumarIbnShabba,112,0930IbnIyas.NuzhatUmam.25,False
1,0230IbnSacd.TabaqatKubra,112,0845Maqrizi.ImtacAsmac.2845,True
0,0257IbnCabdHakam.FutuhMisr,326,0911Suyuti.HusnMuhadara.30,False
1,0257IbnCabdHakam.FutuhMisr,326,0911Suyuti.HusnMuhadara.31,True
0,0820IbnMutawwaj,1523,0911Suyuti.HusnMuhadara.670,True
0,0420Musabbihi.AkhbarMisr,1761,0845Maqrizi.ItticazHunafa.155,False
1,0420Musabbihi.AkhbarMisr,1761,0874IbnTaghribirdi.NujumZahira.824,False
0,0337QudamaIbnJacfar,547,0930IbnIyas.NuzhatUmam.57,True
0,0692IbnCabdZahir.RawdaBahiyya,951,0845Maqrizi.MusawwadatMawaciz.212,False
1,0692IbnCabdZahir.RawdaBahiyya,951,0845Maqrizi.MusawwadatMawaciz.217,False
2,0692IbnCabdZahir.RawdaBahiyya,951,0845Maqrizi.MusawwadatMawaciz.218,True
0,0337QudamaIbnJacfar,117,0930IbnIyas.NuzhatUmam.57,True
0,0692IbnCabdZahir.RawdaBahiyya,921,0845Maqrizi.MusawwadatMawaciz.188,False
0,0209AbuCubayda,2070,0468IbnAhmadWahidiNaysaburi.WasitFiTafsir.339,True
0,0257IbnCabdHakam.FutuhMisr,464,0930IbnIyas.NuzhatUmam.170,False
0,0276IbnQutaybaDinawari,93,0745AbuHayyanGharnati.TafsirBahrMuhit.3841,False
1,0241IbnHanbal,93,0654SibtIbnJawzi.MiratZaman.435,True
0,0695SarrajDinWaraq,1795,0764Safadi.AcyanCasr.1680,False
0,0257IbnCabdHakam.FutuhMisr,378,0634AbuRabicHimyari.Iktifa.993,False
1,0257IbnCabdHakam.FutuhMisr,378,0634AbuRabicHimyari.Iktifa.994,False
2,0257IbnCabdHakam.FutuhMisr,378,0733Nuwayri.NihayatArab.4147,False
3,0257IbnCabdHakam.FutuhMisr,378,0733Nuwayri.NihayatArab.4148,False
4,0257IbnCabdHakam.FutuhMisr,378,0911Suyuti.HusnMuhadara.82,False
5,0257IbnCabdHakam.FutuhMisr,378,0634AbuRabicHimyari.Iktifa.994,True
6,0257IbnCabdHakam.FutuhMisr,378,0634AbuRabicHimyari.Iktifa.995,True
7,0257IbnCabdHakam.FutuhMisr,378,0733Nuwayri.NihayatArab.4148,True
8,0257IbnCabdHakam.FutuhMisr,378,0733Nuwayri.NihayatArab.4149,True
9,0257IbnCabdHakam.FutuhMisr,378,0911Suyuti.HusnMuhadara.83,True
0,0230IbnSacd.TabaqatKubra,964,0230IbnSacd.TarjamatHusayn.39,False
1,0230IbnSacd.TabaqatKubra,964,0230IbnSacd.TarjamatHusayn.40,True
2,0198SufyanIbnCuyayna,964,0742Mizzi.TahdhibKamal.1383,True
0,0257IbnCabdHakam.FutuhMisr,663,0634AbuRabicHimyari.Iktifa.982,False
1,0257IbnCabdHakam.FutuhMisr,663,0634AbuRabicHimyari.Iktifa.983,False
2,0257IbnCabdHakam.FutuhMisr,663,0733Nuwayri.NihayatArab.4139,False
3,0257IbnCabdHakam.FutuhMisr,663,0733Nuwayri.NihayatArab.4140,False
4,0257IbnCabdHakam.FutuhMisr,663,0911Suyuti.HusnMuhadara.74,False
5,0257IbnCabdHakam.FutuhMisr,663,0911Suyuti.HusnMuhadara.75,False
6,0257IbnCabdHakam.FutuhMisr,663,0634AbuRabicHimyari.Iktifa.983,True
7,0257IbnCabdHakam.FutuhMisr,663,0634AbuRabicHimyari.Iktifa.984,True
8,0257IbnCabdHakam.FutuhMisr,663,0733Nuwayri.NihayatArab.4140,True
9,0257IbnCabdHakam.FutuhMisr,663,0733Nuwayri.NihayatArab.4141,True
10,0257IbnCabdHakam.FutuhMisr,663,0911Suyuti.HusnMuhadara.75,True
11,0257IbnCabdHakam.FutuhMisr,663,0911Suyuti.HusnMuhadara.76,True
0,0257IbnCabdHakam.FutuhMisr,1678,0874IbnTaghribirdi.NujumZahira.54,True
0,0257IbnCabdHakam.FutuhMisr,664,0634AbuRabicHimyari.Iktifa.983,False
1,0257IbnCabdHakam.FutuhMisr,664,0634AbuRabicHimyari.Iktifa.984,False
2,0257IbnCabdHakam.FutuhMisr,664,0733Nuwayri.NihayatArab.4140,False
3,0257IbnCabdHakam.FutuhMisr,664,0733Nuwayri.NihayatArab.4141,False
4,0257IbnCabdHakam.FutuhMisr,664,0911Suyuti.HusnMuhadara.75,False
5,0257IbnCabdHakam.FutuhMisr,664,0911Suyuti.HusnMuhadara.76,False
6,0257IbnCabdHakam.FutuhMisr,664,0634AbuRabicHimyari.Iktifa.984,True
7,0257IbnCabdHakam.FutuhMisr,664,0634AbuRabicHimyari.Iktifa.985,True
8,0257IbnCabdHakam.FutuhMisr,664,0733Nuwayri.NihayatArab.4141,True
9,0257IbnCabdHakam.FutuhMisr,664,0733Nuwayri.NihayatArab.4142,True
10,0257IbnCabdHakam.FutuhMisr,664,0911Suyuti.HusnMuhadara.76,True
11,0257IbnCabdHakam.FutuhMisr,664,0911Suyuti.HusnMuhadara.77,True
0,0692IbnCabdZahir.RawdaBahiyya,875,0845Maqrizi.MusawwadatMawaciz.341,False
0,0257IbnCabdHakam.FutuhMisr,177,0911Suyuti.HusnMuhadara.99,False
1,0257IbnCabdHakam.FutuhMisr,177,0911Suyuti.HusnMuhadara.100,False
2,0257IbnCabdHakam.FutuhMisr,177,0911Suyuti.HusnMuhadara.100,True
3,0257IbnCabdHakam.FutuhMisr,177,0911Suyuti.HusnMuhadara.101,True
0,0692IbnCabdZahir.RawdaBahiyya,1237,0845Maqrizi.MusawwadatMawaciz.396,True
0,0692IbnCabdZahir.RawdaBahiyya,1179,0845Maqrizi.MusawwadatMawaciz.379,False
1,0692IbnCabdZahir.RawdaBahiyya,1179,0845Maqrizi.MusawwadatMawaciz.379,True
2,0692IbnCabdZahir.RawdaBahiyya,1179,0845Maqrizi.MusawwadatMawaciz.380,True
0,0257IbnCabdHakam.FutuhMisr,61,0911Suyuti.HusnMuhadara.64,False
1,0257IbnCabdHakam.FutuhMisr,61,0783IbnHadida.MisbahMudi.200,True
2,0257IbnCabdHakam.FutuhMisr,61,0911Suyuti.HusnMuhadara.65,True
0,0692IbnCabdZahir.RawdaBahiyya,856,0845Maqrizi.MusawwadatMawaciz.116,False
1,0692IbnCabdZahir.RawdaBahiyya,856,0736IbnDawadari.KanzDurar.1418,True
2,0692IbnCabdZahir.RawdaBahiyya,856,0821Qalqashandi.SubhAcsha.926,True
3,0692IbnCabdZahir.RawdaBahiyya,856,0845Maqrizi.MusawwadatMawaciz.117,True
0,0692IbnCabdZahir.RawdaBahiyya,1093,0845Maqrizi.MusawwadatMawaciz.386,False
0,0630IbnAbiTayyi,982,0845Maqrizi.MusawwadatMawaciz.225,False
1,0692IbnCabdZahir.RawdaBahiyya,982,0845Maqrizi.MusawwadatMawaciz.224,True
0,0209AbuCubayda,339,0244IbnSikkit.Alfaz.9,False
1,0209AbuCubayda,339,0395IbnFarisQazwini.MutakhayyarAlfaz.24,False
2,0209AbuCubayda,339,0769IbnCaqilBahaDinMisri.Musacid.821,False
3,0257IbnCabdHakam.FutuhMisr,339,0911Suyuti.HusnMuhadara.56,False
4,0257IbnCabdHakam.FutuhMisr,339,0911Suyuti.HusnMuhadara.57,True
0,0151IbnIshaq.Sira,337,0338AbuJacfarNahhas.MacaniQuran.479,False
