,uri,start,end,ms,text_uri
3,Anonymous,1013,1022,356,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1124,1133,356,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1240,1249,356,0850ShihabDinIbshihi.Mustatraf
0,0588IbnMamun.AkhbarMisr,199,212,364,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1001,1010,364,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,447,456,372,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1212,1221,372,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,1105,1114,406,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1211,1220,406,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,25,34,416,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1281,1290,416,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1390,1399,416,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,121,130,418,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,446,455,418,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,555,564,418,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,977,986,422,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1085,1094,422,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,571,580,452,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,671,680,452,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1116,1125,452,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1274,1283,452,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,145,154,453,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,248,257,453,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,358,367,453,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,464,473,453,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,569,578,453,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,803,812,453,0850ShihabDinIbshihi.Mustatraf
6,Anonymous,1237,1246,453,0850ShihabDinIbshihi.Mustatraf
7,Anonymous,1342,1351,453,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,113,122,454,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,222,231,454,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,335,344,454,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,722,731,454,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,833,842,454,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1516,1525,454,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,326,335,455,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1342,1351,455,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1426,1435,455,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,415,424,456,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,922,931,456,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1168,1177,456,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1274,1283,456,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,433,442,457,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,528,537,457,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,634,643,457,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,85,94,458,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,445,454,458,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,552,561,458,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,662,671,458,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,896,905,458,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1180,1189,458,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,25,34,459,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,421,430,459,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,511,520,459,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,856,865,459,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,957,966,459,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,51,60,460,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,514,523,460,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,615,624,460,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,829,838,460,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1198,1207,460,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1516,1525,460,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,85,94,461,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,273,282,461,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,625,634,461,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,768,777,461,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,878,887,461,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,980,989,461,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,123,132,462,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,199,208,462,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,446,455,462,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,711,720,462,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,983,992,462,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1273,1282,462,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,338,347,463,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,585,594,463,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,267,276,464,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,439,448,464,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,543,552,464,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,835,844,464,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1055,1064,464,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,1409,1418,466,0850ShihabDinIbshihi.Mustatraf
1,0255Jahiz.Hayawan,271,283,466,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,118,127,468,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,228,237,468,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,37,46,476,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,209,218,476,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,738,747,476,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,995,1004,476,0850ShihabDinIbshihi.Mustatraf
4,0255Jahiz.Hayawan,1462,1474,476,0850ShihabDinIbshihi.Mustatraf
0,0588IbnMamun.AkhbarMisr,435,448,487,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,638,647,487,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,701,710,487,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,11,20,489,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,806,815,489,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1131,1140,489,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,589,598,490,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,707,716,490,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,942,951,490,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1252,1261,490,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1579,1588,490,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,65,74,491,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,173,182,491,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,280,289,491,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,508,517,491,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,617,626,491,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,815,824,491,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,406,415,494,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,470,479,494,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,685,694,494,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,746,755,494,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,871,880,494,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1152,1161,494,0850ShihabDinIbshihi.Mustatraf
6,Anonymous,1260,1269,494,0850ShihabDinIbshihi.Mustatraf
7,Anonymous,1372,1381,494,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,995,1004,511,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1197,1206,511,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1297,1306,511,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,1076,1085,524,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1316,1325,524,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,285,294,541,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,381,390,541,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,604,613,541,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,644,653,545,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,709,718,545,0850ShihabDinIbshihi.Mustatraf
0,0588IbnMamun.AkhbarMisr,152,165,624,0850ShihabDinIbshihi.Mustatraf
1,0255Jahiz.Hayawan,332,344,624,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,998,1007,713,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1387,1396,713,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,983,992,732,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1236,1245,732,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,162,171,733,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,248,257,733,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,807,816,733,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1367,1376,733,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,625,634,741,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,948,957,741,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1153,1162,741,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1374,1383,741,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1464,1473,741,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,594,603,743,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,708,717,743,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,816,825,743,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,928,937,743,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1033,1042,743,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1135,1144,743,0850ShihabDinIbshihi.Mustatraf
6,Anonymous,1248,1257,743,0850ShihabDinIbshihi.Mustatraf
7,Anonymous,1456,1465,743,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,47,56,744,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,409,418,744,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,517,526,744,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,864,873,744,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1266,1275,744,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,0,9,745,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,103,112,745,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,214,223,745,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,737,746,745,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1187,1196,745,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1261,1270,745,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,644,653,746,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,756,765,746,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,946,955,746,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1067,1076,746,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,264,273,747,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,378,387,747,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,653,662,747,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,868,877,747,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1307,1316,747,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,28,37,748,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,126,135,748,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,294,303,748,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,418,427,748,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,487,496,748,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,610,619,748,0850ShihabDinIbshihi.Mustatraf
6,Anonymous,692,701,748,0850ShihabDinIbshihi.Mustatraf
7,Anonymous,803,812,748,0850ShihabDinIbshihi.Mustatraf
8,Anonymous,911,920,748,0850ShihabDinIbshihi.Mustatraf
9,Anonymous,1255,1264,748,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,244,253,749,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,630,639,749,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,848,857,749,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,971,980,749,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1173,1182,749,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1374,1383,749,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,132,141,751,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,479,488,751,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,588,597,751,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,758,767,752,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,852,861,752,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,136,145,753,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,311,320,753,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,467,476,753,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1063,1072,753,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1179,1188,753,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1418,1427,753,0850ShihabDinIbshihi.Mustatraf
6,Anonymous,1533,1542,753,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,1130,1139,756,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1350,1359,756,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,320,329,757,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,738,747,757,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,988,997,757,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,243,252,758,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,579,588,758,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,916,925,758,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1233,1242,758,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1354,1363,758,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1476,1485,758,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,261,270,759,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,486,495,759,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,690,699,759,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,763,772,759,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1465,1474,759,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,188,197,760,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,562,571,760,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,932,941,760,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,324,333,761,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,698,707,761,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1258,1267,761,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1369,1378,761,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1460,1469,761,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,212,221,762,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,443,452,762,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,594,603,762,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,920,929,762,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1071,1080,762,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,34,43,764,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,597,606,764,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,938,947,764,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1152,1161,764,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1237,1246,764,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1357,1366,764,0850ShihabDinIbshihi.Mustatraf
6,Anonymous,1478,1487,764,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,79,88,765,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,185,194,765,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,286,295,765,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,401,410,765,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,300,309,767,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,595,604,767,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,942,951,767,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1169,1178,767,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,22,31,768,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,373,382,768,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,585,594,768,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,1327,1336,769,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1443,1452,769,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,79,88,777,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,185,194,777,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,512,521,777,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,1201,1210,783,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1324,1333,783,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1460,1468,783,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,1257,1266,784,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1375,1384,784,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,93,102,785,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,221,230,785,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,341,350,785,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,1126,1135,790,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1233,1242,790,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,332,341,849,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,800,809,849,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,17,26,873,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,75,84,873,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,1002,1011,887,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1059,1068,887,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,621,630,888,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,690,699,888,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,751,760,888,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1243,1252,888,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,18,27,890,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,279,288,890,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,591,600,890,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1071,1080,890,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1326,1335,890,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,497,506,892,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1155,1164,892,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1214,1223,892,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,503,512,74,0852IbnHajarCasqalani.CujabFiBayanAsbab
1,AnonymousPlural,503,514,74,0852IbnHajarCasqalani.CujabFiBayanAsbab
0,Anonymous,300,309,75,0852IbnHajarCasqalani.CujabFiBayanAsbab
1,AnonymousPlural,300,311,75,0852IbnHajarCasqalani.CujabFiBayanAsbab
0,Anonymous,1044,1052,128,0852IbnHajarCasqalani.CujabFiBayanAsbab
1,AnonymousPlural,1044,1054,128,0852IbnHajarCasqalani.CujabFiBayanAsbab
0,Anonymous,1381,1390,221,0852IbnHajarCasqalani.CujabFiBayanAsbab
1,AnonymousPlural,1381,1392,221,0852IbnHajarCasqalani.CujabFiBayanAsbab
0,Anonymous,726,734,284,0852IbnHajarCasqalani.CujabFiBayanAsbab
1,AnonymousPlural,726,736,284,0852IbnHajarCasqalani.CujabFiBayanAsbab
0,Anonymous,72,80,287,0852IbnHajarCasqalani.CujabFiBayanAsbab
1,AnonymousPlural,72,82,287,0852IbnHajarCasqalani.CujabFiBayanAsbab
0,Anonymous,124,133,304,0852IbnHajarCasqalani.CujabFiBayanAsbab
1,Anonymous,252,261,304,0852IbnHajarCasqalani.CujabFiBayanAsbab
2,AnonymousPlural,124,135,304,0852IbnHajarCasqalani.CujabFiBayanAsbab
3,AnonymousPlural,252,263,304,0852IbnHajarCasqalani.CujabFiBayanAsbab
0,0458Bayhaqi,600,612,47,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
1,0458Bayhaqi,1219,1231,47,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
0,Anonymous,69,77,51,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
1,0458Bayhaqi,1205,1217,51,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
0,0458Bayhaqi,123,136,123,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
1,0458Bayhaqi,1349,1361,123,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
0,Anonymous,861,869,206,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
1,0458Bayhaqi,13,25,206,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
0,Anonymous,1290,1298,277,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
1,AnonymousPlural,1290,1300,277,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
0,0458Bayhaqi,48,61,326,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
1,0458Bayhaqi,580,592,326,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
2,0458Bayhaqi,1045,1057,326,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
0,0458Bayhaqi,235,247,485,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
1,0458Bayhaqi,600,612,485,0852IbnHajarCasqalani.DirayaFiTakhrijAhadithHidaya
0,Anonymous,1493,1502,151,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,1493,1504,151,0852IbnHajarCasqalani.FathBari
0,Anonymous,798,807,362,0852IbnHajarCasqalani.FathBari
