,Unnamed: 0,uri,ms,origin,origin_prev_ms
36,36,0588IbnMamun.AkhbarMisr,907,self,False
2009,1,0588IbnMamun.AkhbarMisr,907,0588IbnMamun.AkhbarMisr.74,True
633,682,0617IbnTuwayr.NuzhatMuqlatayn,907,self,False
2008,0,0617IbnTuwayr.NuzhatMuqlatayn,907,0821Qalqashandi.SubhAcsha.1031,False
2010,2,0617IbnTuwayr.NuzhatMuqlatayn,907,0821Qalqashandi.SubhAcsha.1032,True
37,37,0588IbnMamun.AkhbarMisr,908,self,False
634,683,0617IbnTuwayr.NuzhatMuqlatayn,908,self,False
1531,0,0617IbnTuwayr.NuzhatMuqlatayn,908,0821Qalqashandi.SubhAcsha.1030,False
1532,1,0617IbnTuwayr.NuzhatMuqlatayn,908,0821Qalqashandi.SubhAcsha.1031,True
38,38,0588IbnMamun.AkhbarMisr,920,self,False
2304,0,0588IbnMamun.AkhbarMisr,920,0588IbnMamun.AkhbarMisr.43,False
39,39,0588IbnMamun.AkhbarMisr,921,self,False
916,0,0588IbnMamun.AkhbarMisr,921,0588IbnMamun.AkhbarMisr.43,False
323,357,0692IbnCabdZahir.RawdaBahiyya,921,self,False
853,903,0460Anonymous.DhakhairTuhaf,921,self,False
40,40,0588IbnMamun.AkhbarMisr,925,self,False
1496,0,0588IbnMamun.AkhbarMisr,925,0845Maqrizi.MusawwadatMawaciz.209,False
1497,1,0588IbnMamun.AkhbarMisr,925,0845Maqrizi.MusawwadatMawaciz.255,False
1500,4,0588IbnMamun.AkhbarMisr,925,0588IbnMamun.AkhbarMisr.43,True
1501,5,0588IbnMamun.AkhbarMisr,925,0845Maqrizi.MusawwadatMawaciz.209,True
1502,6,0588IbnMamun.AkhbarMisr,925,0845Maqrizi.MusawwadatMawaciz.210,True
1503,7,0588IbnMamun.AkhbarMisr,925,0845Maqrizi.MusawwadatMawaciz.256,True
1498,2,0617IbnTuwayr.NuzhatMuqlatayn,925,0845Maqrizi.MusawwadatMawaciz.207,False
1504,8,0617IbnTuwayr.NuzhatMuqlatayn,925,0845Maqrizi.MusawwadatMawaciz.210,True
1499,3,0692IbnCabdZahir.RawdaBahiyya,925,0845Maqrizi.MusawwadatMawaciz.209,False
1505,9,0692IbnCabdZahir.RawdaBahiyya,925,0845Maqrizi.MusawwadatMawaciz.209,True
1506,10,0692IbnCabdZahir.RawdaBahiyya,925,0845Maqrizi.MusawwadatMawaciz.210,True
41,41,0588IbnMamun.AkhbarMisr,926,self,False
1102,0,0588IbnMamun.AkhbarMisr,926,0845Maqrizi.MusawwadatMawaciz.255,False
1103,1,0588IbnMamun.AkhbarMisr,926,0845Maqrizi.MusawwadatMawaciz.256,False
1104,2,0588IbnMamun.AkhbarMisr,926,0845Maqrizi.MusawwadatMawaciz.256,True
1105,3,0588IbnMamun.AkhbarMisr,926,0845Maqrizi.MusawwadatMawaciz.257,True
42,42,0588IbnMamun.AkhbarMisr,927,self,False
902,0,0588IbnMamun.AkhbarMisr,927,0845Maqrizi.MusawwadatMawaciz.257,False
903,1,0588IbnMamun.AkhbarMisr,927,0845Maqrizi.MusawwadatMawaciz.258,False
904,2,0588IbnMamun.AkhbarMisr,927,0845Maqrizi.MusawwadatMawaciz.258,True
905,3,0588IbnMamun.AkhbarMisr,927,0845Maqrizi.MusawwadatMawaciz.259,True
43,43,0588IbnMamun.AkhbarMisr,928,self,False
1312,0,0588IbnMamun.AkhbarMisr,928,0845Maqrizi.MusawwadatMawaciz.258,False
1313,1,0588IbnMamun.AkhbarMisr,928,0845Maqrizi.MusawwadatMawaciz.259,False
1314,2,0588IbnMamun.AkhbarMisr,928,0845Maqrizi.MusawwadatMawaciz.259,True
1315,3,0588IbnMamun.AkhbarMisr,928,0845Maqrizi.MusawwadatMawaciz.260,True
44,44,0588IbnMamun.AkhbarMisr,929,self,False
2289,0,0588IbnMamun.AkhbarMisr,929,0845Maqrizi.MusawwadatMawaciz.259,False
2290,1,0588IbnMamun.AkhbarMisr,929,0845Maqrizi.MusawwadatMawaciz.260,False
2291,2,0588IbnMamun.AkhbarMisr,929,0845Maqrizi.MusawwadatMawaciz.261,False
2292,3,0588IbnMamun.AkhbarMisr,929,0845Maqrizi.MusawwadatMawaciz.260,True
2293,4,0588IbnMamun.AkhbarMisr,929,0845Maqrizi.MusawwadatMawaciz.261,True
2294,5,0588IbnMamun.AkhbarMisr,929,0845Maqrizi.MusawwadatMawaciz.262,True
45,45,0588IbnMamun.AkhbarMisr,930,self,False
2011,0,0588IbnMamun.AkhbarMisr,930,0845Maqrizi.MusawwadatMawaciz.261,False
2012,1,0588IbnMamun.AkhbarMisr,930,0845Maqrizi.MusawwadatMawaciz.262,False
2013,2,0588IbnMamun.AkhbarMisr,930,0845Maqrizi.MusawwadatMawaciz.262,True
2014,3,0588IbnMamun.AkhbarMisr,930,0845Maqrizi.MusawwadatMawaciz.263,True
46,46,0588IbnMamun.AkhbarMisr,931,self,False
2103,0,0588IbnMamun.AkhbarMisr,931,0588IbnMamun.AkhbarMisr.87,False
2104,1,0588IbnMamun.AkhbarMisr,931,0845Maqrizi.MusawwadatMawaciz.255,False
2105,2,0588IbnMamun.AkhbarMisr,931,0845Maqrizi.MusawwadatMawaciz.263,False
2106,3,0588IbnMamun.AkhbarMisr,931,0845Maqrizi.MusawwadatMawaciz.256,True
2107,4,0588IbnMamun.AkhbarMisr,931,0845Maqrizi.MusawwadatMawaciz.264,True
47,47,0588IbnMamun.AkhbarMisr,932,self,False
855,905,0460Anonymous.DhakhairTuhaf,932,self,False
48,48,0588IbnMamun.AkhbarMisr,946,self,False
783,832,0677IbnMuyassar.AkhbarMisr,946,self,False
49,49,0588IbnMamun.AkhbarMisr,947,self,False
1917,0,0588IbnMamun.AkhbarMisr,947,0588IbnMamun.AkhbarMisr.96,False
1918,1,0588IbnMamun.AkhbarMisr,947,0845Maqrizi.Muqaffa.2753,False
1919,2,0588IbnMamun.AkhbarMisr,947,0845Maqrizi.Muqaffa.2756,False
1920,3,0588IbnMamun.AkhbarMisr,947,0845Maqrizi.MusawwadatMawaciz.210,False
1924,7,0588IbnMamun.AkhbarMisr,947,0845Maqrizi.Muqaffa.2754,True
1925,8,0588IbnMamun.AkhbarMisr,947,0845Maqrizi.Muqaffa.2757,True
646,695,0617IbnTuwayr.NuzhatMuqlatayn,947,self,False
1921,4,0617IbnTuwayr.NuzhatMuqlatayn,947,0845Maqrizi.MusawwadatMawaciz.210,False
1926,9,0617IbnTuwayr.NuzhatMuqlatayn,947,0845Maqrizi.MusawwadatMawaciz.211,True
1922,5,0692IbnCabdZahir.RawdaBahiyya,947,0845Maqrizi.MusawwadatMawaciz.210,False
1923,6,0692IbnCabdZahir.RawdaBahiyya,947,0845Maqrizi.MusawwadatMawaciz.212,False
1927,10,0692IbnCabdZahir.RawdaBahiyya,947,0845Maqrizi.MusawwadatMawaciz.211,True
50,50,0588IbnMamun.AkhbarMisr,948,self,False
1363,0,0588IbnMamun.AkhbarMisr,948,0588IbnMamun.AkhbarMisr.96,False
1364,1,0588IbnMamun.AkhbarMisr,948,0845Maqrizi.Muqaffa.2753,False
1365,2,0588IbnMamun.AkhbarMisr,948,0845Maqrizi.Muqaffa.2754,False
1366,3,0588IbnMamun.AkhbarMisr,948,0845Maqrizi.Muqaffa.2754,True
1367,4,0588IbnMamun.AkhbarMisr,948,0845Maqrizi.Muqaffa.2755,True
51,51,0588IbnMamun.AkhbarMisr,949,self,False
1305,0,0588IbnMamun.AkhbarMisr,949,0845Maqrizi.Muqaffa.2754,False
1306,1,0588IbnMamun.AkhbarMisr,949,0845Maqrizi.Muqaffa.2755,False
1307,2,0588IbnMamun.AkhbarMisr,949,0845Maqrizi.Muqaffa.2755,True
1308,3,0588IbnMamun.AkhbarMisr,949,0845Maqrizi.Muqaffa.2756,True
52,52,0588IbnMamun.AkhbarMisr,950,self,False
53,53,0588IbnMamun.AkhbarMisr,951,self,False
910,0,0588IbnMamun.AkhbarMisr,951,0845Maqrizi.Muqaffa.2755,False
912,2,0588IbnMamun.AkhbarMisr,951,0588IbnMamun.AkhbarMisr.101,True
913,3,0588IbnMamun.AkhbarMisr,951,0845Maqrizi.Muqaffa.2756,True
54,54,0588IbnMamun.AkhbarMisr,952,self,False
1393,0,0588IbnMamun.AkhbarMisr,952,0588IbnMamun.AkhbarMisr.101,False
1395,2,0588IbnMamun.AkhbarMisr,952,0845Maqrizi.Muqaffa.2756,False
1396,3,0588IbnMamun.AkhbarMisr,952,0845Maqrizi.MusawwadatMawaciz.209,False
1400,7,0588IbnMamun.AkhbarMisr,952,0588IbnMamun.AkhbarMisr.102,True
1401,8,0588IbnMamun.AkhbarMisr,952,0845Maqrizi.Muqaffa.2757,True
1402,9,0588IbnMamun.AkhbarMisr,952,0845Maqrizi.MusawwadatMawaciz.210,True
647,696,0617IbnTuwayr.NuzhatMuqlatayn,952,self,False
1394,1,0617IbnTuwayr.NuzhatMuqlatayn,952,0617IbnTuwayr.NuzhatMuqlatayn.192,False
1397,4,0617IbnTuwayr.NuzhatMuqlatayn,952,0845Maqrizi.MusawwadatMawaciz.211,False
1403,10,0617IbnTuwayr.NuzhatMuqlatayn,952,0845Maqrizi.MusawwadatMawaciz.210,True
1398,5,0692IbnCabdZahir.RawdaBahiyya,952,0845Maqrizi.MusawwadatMawaciz.209,False
1399,6,0692IbnCabdZahir.RawdaBahiyya,952,0845Maqrizi.MusawwadatMawaciz.211,False
1404,11,0692IbnCabdZahir.RawdaBahiyya,952,0845Maqrizi.MusawwadatMawaciz.210,True
1405,12,0692IbnCabdZahir.RawdaBahiyya,952,0845Maqrizi.MusawwadatMawaciz.212,True
55,55,0588IbnMamun.AkhbarMisr,971,self,False
2417,0,0588IbnMamun.AkhbarMisr,971,0588IbnMamun.AkhbarMisr.38,False
2418,1,0588IbnMamun.AkhbarMisr,971,0845Maqrizi.MusawwadatMawaciz.330,False
2419,2,0588IbnMamun.AkhbarMisr,971,0845Maqrizi.MusawwadatMawaciz.331,False
2422,5,0588IbnMamun.AkhbarMisr,971,0845Maqrizi.MusawwadatMawaciz.331,True
2423,6,0588IbnMamun.AkhbarMisr,971,0845Maqrizi.MusawwadatMawaciz.332,True
56,56,0588IbnMamun.AkhbarMisr,972,self,False
2145,0,0588IbnMamun.AkhbarMisr,972,0845Maqrizi.Muqaffa.2757,False
2146,1,0588IbnMamun.AkhbarMisr,972,0845Maqrizi.MusawwadatMawaciz.331,False
2147,2,0588IbnMamun.AkhbarMisr,972,0845Maqrizi.MusawwadatMawaciz.332,False
2148,3,0588IbnMamun.AkhbarMisr,972,0588IbnMamun.AkhbarMisr.65,True
2149,4,0588IbnMamun.AkhbarMisr,972,0845Maqrizi.Muqaffa.2758,True
2150,5,0588IbnMamun.AkhbarMisr,972,0845Maqrizi.MusawwadatMawaciz.332,True
651,700,0617IbnTuwayr.NuzhatMuqlatayn,972,self,False
57,57,0588IbnMamun.AkhbarMisr,973,self,False
2368,0,0588IbnMamun.AkhbarMisr,973,0588IbnMamun.AkhbarMisr.38,False
652,701,0617IbnTuwayr.NuzhatMuqlatayn,973,self,False
784,833,0677IbnMuyassar.AkhbarMisr,973,self,False
2370,2,0677IbnMuyassar.AkhbarMisr,973,0845Maqrizi.MusawwadatMawaciz.181,False
58,58,0588IbnMamun.AkhbarMisr,974,self,False
2536,0,0588IbnMamun.AkhbarMisr,974,0588IbnMamun.AkhbarMisr.65,False
2537,1,0588IbnMamun.AkhbarMisr,974,0845Maqrizi.Muqaffa.2757,False
2538,2,0588IbnMamun.AkhbarMisr,974,0588IbnMamun.AkhbarMisr.68,True
2539,3,0588IbnMamun.AkhbarMisr,974,0845Maqrizi.Muqaffa.2758,True
59,59,0588IbnMamun.AkhbarMisr,975,self,False
2390,0,0588IbnMamun.AkhbarMisr,975,0588IbnMamun.AkhbarMisr.68,True
60,60,0588IbnMamun.AkhbarMisr,982,self,False
959,0,0588IbnMamun.AkhbarMisr,982,0845Maqrizi.Muqaffa.2752,False
960,1,0588IbnMamun.AkhbarMisr,982,0845Maqrizi.Muqaffa.2753,False
961,2,0588IbnMamun.AkhbarMisr,982,0845Maqrizi.MusawwadatMawaciz.222,False
962,3,0588IbnMamun.AkhbarMisr,982,0845Maqrizi.MusawwadatMawaciz.223,False
963,4,0588IbnMamun.AkhbarMisr,982,0845Maqrizi.MusawwadatMawaciz.225,False
964,5,0588IbnMamun.AkhbarMisr,982,0845Maqrizi.MusawwadatMawaciz.252,False
967,8,0588IbnMamun.AkhbarMisr,982,0845Maqrizi.Muqaffa.2753,True
968,9,0588IbnMamun.AkhbarMisr,982,0845Maqrizi.Muqaffa.2754,True
969,10,0588IbnMamun.AkhbarMisr,982,0845Maqrizi.MusawwadatMawaciz.223,True
970,11,0588IbnMamun.AkhbarMisr,982,0845Maqrizi.MusawwadatMawaciz.224,True
971,12,0588IbnMamun.AkhbarMisr,982,0845Maqrizi.MusawwadatMawaciz.253,True
61,61,0588IbnMamun.AkhbarMisr,983,self,False
2156,0,0588IbnMamun.AkhbarMisr,983,0845Maqrizi.MusawwadatMawaciz.223,False
2157,1,0588IbnMamun.AkhbarMisr,983,0845Maqrizi.MusawwadatMawaciz.224,False
2158,2,0588IbnMamun.AkhbarMisr,983,0845Maqrizi.MusawwadatMawaciz.224,True
2159,3,0588IbnMamun.AkhbarMisr,983,0845Maqrizi.MusawwadatMawaciz.225,True
653,702,0617IbnTuwayr.NuzhatMuqlatayn,983,self,False
62,62,0588IbnMamun.AkhbarMisr,992,self,False
659,708,0617IbnTuwayr.NuzhatMuqlatayn,992,self,False
2015,0,0617IbnTuwayr.NuzhatMuqlatayn,992,0617IbnTuwayr.NuzhatMuqlatayn.177,False
63,63,0588IbnMamun.AkhbarMisr,993,self,False
1839,0,0588IbnMamun.AkhbarMisr,993,0588IbnMamun.AkhbarMisr.26,True
1840,1,0588IbnMamun.AkhbarMisr,993,0845Maqrizi.ItticazHunafa.446,True
1841,2,0588IbnMamun.AkhbarMisr,993,0845Maqrizi.Muqaffa.2752,True
64,64,0588IbnMamun.AkhbarMisr,994,self,False
2592,0,0588IbnMamun.AkhbarMisr,994,0588IbnMamun.AkhbarMisr.26,False
2593,1,0588IbnMamun.AkhbarMisr,994,0845Maqrizi.ItticazHunafa.446,False
2594,2,0588IbnMamun.AkhbarMisr,994,0845Maqrizi.Muqaffa.2752,False
2595,3,0588IbnMamun.AkhbarMisr,994,0588IbnMamun.AkhbarMisr.26,True
2596,4,0588IbnMamun.AkhbarMisr,994,0845Maqrizi.ItticazHunafa.446,True
2597,5,0588IbnMamun.AkhbarMisr,994,0845Maqrizi.Muqaffa.2752,True
2598,6,0588IbnMamun.AkhbarMisr,994,0845Maqrizi.Muqaffa.2753,True
65,65,0588IbnMamun.AkhbarMisr,995,self,False
2016,0,0588IbnMamun.AkhbarMisr,995,0588IbnMamun.AkhbarMisr.26,False
2017,1,0588IbnMamun.AkhbarMisr,995,0845Maqrizi.ItticazHunafa.446,False
2018,2,0588IbnMamun.AkhbarMisr,995,0845Maqrizi.Muqaffa.2752,False
2019,3,0588IbnMamun.AkhbarMisr,995,0845Maqrizi.ItticazHunafa.446,True
2020,4,0588IbnMamun.AkhbarMisr,995,0845Maqrizi.Muqaffa.2753,True
785,834,0677IbnMuyassar.AkhbarMisr,995,self,False
66,66,0588IbnMamun.AkhbarMisr,996,self,False
786,835,0677IbnMuyassar.AkhbarMisr,996,self,False
67,67,0588IbnMamun.AkhbarMisr,997,self,False
1283,0,0588IbnMamun.AkhbarMisr,997,0588IbnMamun.AkhbarMisr.87,False
1284,1,0588IbnMamun.AkhbarMisr,997,0845Maqrizi.Muqaffa.2755,False
1285,2,0588IbnMamun.AkhbarMisr,997,0588IbnMamun.AkhbarMisr.87,True
1286,3,0588IbnMamun.AkhbarMisr,997,0845Maqrizi.Muqaffa.2756,True
68,68,0588IbnMamun.AkhbarMisr,998,self,False
2046,0,0588IbnMamun.AkhbarMisr,998,0845Maqrizi.MusawwadatMawaciz.294,False
2048,2,0588IbnMamun.AkhbarMisr,998,0845Maqrizi.MusawwadatMawaciz.294,True
2049,3,0588IbnMamun.AkhbarMisr,998,0845Maqrizi.MusawwadatMawaciz.295,True
540,577,0630IbnAbiTayyi,998,self,False
2047,1,0630IbnAbiTayyi,998,0845Maqrizi.MusawwadatMawaciz.294,False
2051,5,0630IbnAbiTayyi,998,0845Maqrizi.MusawwadatMawaciz.294,True
660,709,0617IbnTuwayr.NuzhatMuqlatayn,998,self,False
69,69,0588IbnMamun.AkhbarMisr,999,self,False
1859,0,0588IbnMamun.AkhbarMisr,999,0588IbnMamun.AkhbarMisr.102,False
1860,1,0588IbnMamun.AkhbarMisr,999,0845Maqrizi.MusawwadatMawaciz.294,False
1861,2,0588IbnMamun.AkhbarMisr,999,0845Maqrizi.MusawwadatMawaciz.295,False
1865,6,0588IbnMamun.AkhbarMisr,999,0845Maqrizi.MusawwadatMawaciz.294,True
1866,7,0588IbnMamun.AkhbarMisr,999,0845Maqrizi.MusawwadatMawaciz.295,True
329,363,0692IbnCabdZahir.RawdaBahiyya,999,self,False
1862,3,0692IbnCabdZahir.RawdaBahiyya,999,0845Maqrizi.MusawwadatMawaciz.295,False
1867,8,0692IbnCabdZahir.RawdaBahiyya,999,0845Maqrizi.MusawwadatMawaciz.295,True
70,70,0588IbnMamun.AkhbarMisr,1002,self,False
1821,0,0588IbnMamun.AkhbarMisr,1002,0845Maqrizi.MusawwadatMawaciz.295,False
1824,3,0588IbnMamun.AkhbarMisr,1002,0588IbnMamun.AkhbarMisr.43,True
331,365,0692IbnCabdZahir.RawdaBahiyya,1002,self,False
1822,1,0692IbnCabdZahir.RawdaBahiyya,1002,0845Maqrizi.MusawwadatMawaciz.295,False
71,71,0588IbnMamun.AkhbarMisr,1003,self,False
2279,0,0588IbnMamun.AkhbarMisr,1003,0692IbnCabdZahir.RawdaBahiyya.42,False
2280,1,0588IbnMamun.AkhbarMisr,1003,0845Maqrizi.MusawwadatMawaciz.320,False
2282,3,0588IbnMamun.AkhbarMisr,1003,0845Maqrizi.MusawwadatMawaciz.321,True
332,366,0692IbnCabdZahir.RawdaBahiyya,1003,self,False
2281,2,0692IbnCabdZahir.RawdaBahiyya,1003,0845Maqrizi.MusawwadatMawaciz.320,False
72,72,0588IbnMamun.AkhbarMisr,1004,self,False
1679,0,0588IbnMamun.AkhbarMisr,1004,0588IbnMamun.AkhbarMisr.65,True
663,712,0617IbnTuwayr.NuzhatMuqlatayn,1004,self,False
73,73,0588IbnMamun.AkhbarMisr,1013,self,False
2191,0,0588IbnMamun.AkhbarMisr,1013,0588IbnMamun.AkhbarMisr.101,False
2192,1,0588IbnMamun.AkhbarMisr,1013,0845Maqrizi.MusawwadatMawaciz.300,False
2194,3,0588IbnMamun.AkhbarMisr,1013,0588IbnMamun.AkhbarMisr.102,True
2196,5,0588IbnMamun.AkhbarMisr,1013,0617IbnTuwayr.NuzhatMuqlatayn.226,True
2197,6,0588IbnMamun.AkhbarMisr,1013,0845Maqrizi.MusawwadatMawaciz.251,True
2198,7,0588IbnMamun.AkhbarMisr,1013,0845Maqrizi.MusawwadatMawaciz.300,True
672,721,0617IbnTuwayr.NuzhatMuqlatayn,1013,self,False
2195,4,0617IbnTuwayr.NuzhatMuqlatayn,1013,0617IbnTuwayr.NuzhatMuqlatayn.226,True
74,74,0588IbnMamun.AkhbarMisr,1014,self,False
2391,0,0588IbnMamun.AkhbarMisr,1014,0588IbnMamun.AkhbarMisr.43,False
2392,1,0588IbnMamun.AkhbarMisr,1014,0588IbnMamun.AkhbarMisr.101,False
2393,2,0588IbnMamun.AkhbarMisr,1014,0845Maqrizi.MusawwadatMawaciz.300,False
2395,4,0588IbnMamun.AkhbarMisr,1014,0588IbnMamun.AkhbarMisr.102,True
333,367,0692IbnCabdZahir.RawdaBahiyya,1014,self,False
2394,3,0692IbnCabdZahir.RawdaBahiyya,1014,0845Maqrizi.MusawwadatMawaciz.300,False
750,799,0387IbnZulaq,1014,self,False
75,75,0588IbnMamun.AkhbarMisr,1016,self,False
